2021-10-07 20:07:58 UTC Reorg to #13373825 0xe38e…9a58 (0x7087…c9e3 #13373823 0x0404…e3ed 0xc9c5…937a)
2021-10-07 20:09:59 UTC Syncing #13373830 0xa07f…ca7c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12872559 LI:#13373862   10/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:09:59 UTC Syncing #13373830 0xa07f…ca7c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12872559 LI:#13373862   10/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:10:09 UTC Syncing #13373832 0x3cc0…fc94     0.40 blk/s   64.4 tx/s    6.0 Mgas/s      0+   32 Qed Ancient:#12872561 LI:#13373862    9/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:10:09 UTC Syncing #13373832 0x3cc0…fc94     0.20 blk/s   32.2 tx/s    3.0 Mgas/s      0+   32 Qed Ancient:#12872561 LI:#13373862    9/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:10:18 UTC Syncing #13373832 0x3cc0…fc94     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12872561 LI:#13373862    9/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:10:19 UTC Syncing #13373832 0x3cc0…fc94     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12872561 LI:#13373863    9/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:10:24 UTC Syncing #13373832 0x3cc0…fc94     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12872561 LI:#13373864    9/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:10:35 UTC Syncing #13373833 0xcc6d…5514     0.10 blk/s   49.6 tx/s    3.0 Mgas/s      0+   34 Qed Ancient:#12872562 LI:#13373865    9/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:10:35 UTC Syncing #13373833 0xcc6d…5514     0.20 blk/s   99.2 tx/s    6.0 Mgas/s      0+   34 Qed Ancient:#12872562 LI:#13373865    9/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:10:39 UTC Syncing #13373833 0xcc6d…5514     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12872562 LI:#13373865    9/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
