2021-10-06 02:52:33 UTC Syncing #13362828 0x6d15…81e2     0.20 blk/s   58.4 tx/s    2.7 Mgas/s      0+   36 Qed Ancient:#12367501 LI:#13362863   43/50 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:52:38 UTC Syncing #13362829 0x33b0…31fd     0.20 blk/s   59.8 tx/s    6.0 Mgas/s      0+   35 Qed Ancient:#12367502 LI:#13362863   43/50 peers      7 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:52:43 UTC Syncing #13362829 0x33b0…31fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12367502 LI:#13362863   43/50 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:52:48 UTC Syncing #13362831 0x2022…73fc     0.40 blk/s  134.2 tx/s    5.2 Mgas/s      0+   34 Qed Ancient:#12367504 LI:#13362864   43/50 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:52:53 UTC Syncing #13362833 0xea01…845e     0.40 blk/s   52.8 tx/s    2.8 Mgas/s      0+   34 Qed Ancient:#12367506 LI:#13362866   43/50 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:52:58 UTC Syncing #13362833 0xea01…845e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#12367506 LI:#13362868   43/50 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:53:03 UTC Syncing #13362834 0x5c3c…a316     0.20 blk/s   53.6 tx/s    4.6 Mgas/s      0+   35 Qed Ancient:#12367507 LI:#13362868   43/50 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:53:08 UTC Syncing #13362836 0x1713…eb71     0.40 blk/s   78.0 tx/s    6.1 Mgas/s      0+   34 Qed Ancient:#12367510 LI:#13362869   43/50 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:53:13 UTC Syncing #13362837 0x60fb…d073     0.20 blk/s   30.6 tx/s    2.2 Mgas/s      0+   33 Qed Ancient:#12367511 LI:#13362869   43/50 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:53:18 UTC Syncing #13362837 0x60fb…d073     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12367511 LI:#13362869   42/50 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:53:23 UTC Syncing #13362838 0xdac0…9bfe     0.20 blk/s   90.0 tx/s    5.9 Mgas/s      0+   33 Qed Ancient:#12367512 LI:#13362870   42/50 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:53:28 UTC Syncing #13362840 0xe670…c3f2     0.40 blk/s  137.6 tx/s    5.1 Mgas/s      0+   31 Qed Ancient:#12367514 LI:#13362870   42/50 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:53:33 UTC Syncing #13362841 0x00b4…391d     0.20 blk/s   16.8 tx/s    1.8 Mgas/s      0+   31 Qed Ancient:#12367515 LI:#13362871   43/50 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:53:38 UTC Syncing #13362843 0x5042…6313     0.40 blk/s   43.0 tx/s    3.7 Mgas/s      0+   30 Qed Ancient:#12367517 LI:#13362872   43/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:53:43 UTC Syncing #13362844 0xdb77…762c     0.20 blk/s   58.6 tx/s    4.1 Mgas/s      0+   30 Qed Ancient:#12367518 LI:#13362873   43/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:53:48 UTC Syncing #13362845 0x7ef3…987b     0.20 blk/s   72.8 tx/s    2.8 Mgas/s      0+   30 Qed Ancient:#12367519 LI:#13362874   43/50 peers      7 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:53:53 UTC Syncing #13362846 0xa0fa…c2ba     0.20 blk/s   25.8 tx/s    2.1 Mgas/s      0+   29 Qed Ancient:#12367520 LI:#13362874   43/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:53:58 UTC Syncing #13362847 0x459f…1ec3     0.20 blk/s   74.6 tx/s    6.0 Mgas/s      0+   29 Qed Ancient:#12367521 LI:#13362875   43/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:54:03 UTC Syncing #13362847 0x459f…1ec3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#12367521 LI:#13362875   43/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:54:08 UTC Syncing #13362850 0x1665…9e57     0.60 blk/s   75.6 tx/s    6.6 Mgas/s      0+   27 Qed Ancient:#12367524 LI:#13362876   43/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:54:13 UTC Syncing #13362852 0xdd64…542e     0.60 blk/s   43.2 tx/s    3.3 Mgas/s      0+   24 Qed Ancient:#12367527 LI:#13362876   43/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:54:18 UTC Syncing #13362852 0xdd64…542e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12367527 LI:#13362877   44/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:54:23 UTC Syncing #13362852 0xdd64…542e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12367527 LI:#13362877   45/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:54:28 UTC Syncing #13362854 0xed6e…8a64     0.40 blk/s  130.6 tx/s    6.4 Mgas/s      0+   24 Qed Ancient:#12367529 LI:#13362878   45/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:54:33 UTC Syncing #13362855 0xcf69…71fb     0.20 blk/s   75.5 tx/s    6.1 Mgas/s      0+   23 Qed Ancient:#12367530 LI:#13362878   45/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:54:38 UTC Syncing #13362855 0xcf69…71fb     0.20 blk/s   74.0 tx/s    6.0 Mgas/s      0+   23 Qed Ancient:#12367531 LI:#13362879   45/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:54:42 UTC Reorg to #13362856 0x2e4a…aaf0 (0xcf69…71fb #13362854 0xed6e…8a64 0x04da…6bed)
2021-10-06 02:54:43 UTC Syncing #13362856 0x2e4a…aaf0     0.20 blk/s   50.2 tx/s    5.4 Mgas/s      0+   22 Qed Ancient:#12367532 LI:#13362879   45/50 peers      8 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:54:48 UTC Syncing #13362856 0x2e4a…aaf0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12367532 LI:#13362880   45/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:54:53 UTC Syncing #13362857 0xb5e2…a438     0.20 blk/s   76.4 tx/s    6.0 Mgas/s      0+   22 Qed Ancient:#12367534 LI:#13362880   45/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:54:58 UTC Syncing #13362857 0xb5e2…a438     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12367534 LI:#13362880   45/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:55:03 UTC Syncing #13362859 0x936e…7261     0.40 blk/s   69.4 tx/s    6.3 Mgas/s      0+   20 Qed Ancient:#12367537 LI:#13362880   45/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:55:08 UTC Syncing #13362860 0xcadc…31dd     0.20 blk/s   30.6 tx/s    2.2 Mgas/s      0+   19 Qed Ancient:#12367538 LI:#13362880   45/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:55:13 UTC Syncing #13362862 0xecbf…655e     0.40 blk/s   61.6 tx/s    3.5 Mgas/s      0+   18 Qed Ancient:#12367540 LI:#13362881   46/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:55:18 UTC Syncing #13362863 0x8886…4327     0.20 blk/s   51.4 tx/s    4.0 Mgas/s      0+   18 Qed Ancient:#12367541 LI:#13362882   46/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:55:23 UTC Syncing #13362864 0x322b…3f62     0.20 blk/s   38.0 tx/s    2.0 Mgas/s      0+   18 Qed Ancient:#12367542 LI:#13362882   46/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:55:28 UTC Syncing #13362865 0xeaf9…7f97     0.20 blk/s   25.4 tx/s    2.3 Mgas/s      0+   17 Qed Ancient:#12367543 LI:#13362882   46/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:55:33 UTC Syncing #13362867 0x8a86…34e9     0.40 blk/s   28.0 tx/s    2.7 Mgas/s      0+   17 Qed Ancient:#12367545 LI:#13362884   46/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:55:38 UTC Syncing #13362868 0xa9c7…44a2     0.20 blk/s   80.0 tx/s    5.9 Mgas/s      0+   16 Qed Ancient:#12367546 LI:#13362884   46/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:55:43 UTC Syncing #13362870 0xf3fa…3afc     0.40 blk/s   66.8 tx/s    4.6 Mgas/s      0+   14 Qed Ancient:#12367548 LI:#13362884   46/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:55:48 UTC Syncing #13362870 0xf3fa…3afc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12367548 LI:#13362884   46/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:55:53 UTC Syncing #13362873 0x473c…6a6b     0.60 blk/s  125.0 tx/s    7.0 Mgas/s      0+   12 Qed Ancient:#12367551 LI:#13362885   46/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:55:58 UTC Syncing #13362874 0xb3f3…a02f     0.20 blk/s   17.0 tx/s    1.3 Mgas/s      0+   14 Qed Ancient:#12367552 LI:#13362888   46/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:56:03 UTC Syncing #13362875 0x6681…65e0     0.20 blk/s   35.2 tx/s    2.8 Mgas/s      0+   14 Qed Ancient:#12367553 LI:#13362889   46/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:56:08 UTC Syncing #13362876 0x11f5…f863     0.20 blk/s   79.4 tx/s    5.9 Mgas/s      0+   13 Qed Ancient:#12367554 LI:#13362889   46/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:56:13 UTC Syncing #13362877 0xcf0e…ca8a     0.20 blk/s   29.8 tx/s    3.3 Mgas/s      0+   13 Qed Ancient:#12367555 LI:#13362890   46/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:56:18 UTC Syncing #13362877 0xcf0e…ca8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12367555 LI:#13362890   46/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:56:23 UTC Syncing #13362879 0x452a…f0a2     0.40 blk/s   73.8 tx/s    6.8 Mgas/s      0+   11 Qed Ancient:#12367557 LI:#13362890   46/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
