2021-10-06 03:12:44 UTC Syncing #13362927 0xaeeb…1a87     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12373254 LI:#13362958   25/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:12:51 UTC Syncing #13362927 0xaeeb…1a87     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12373254 LI:#13362958   26/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:12:53 UTC Syncing #13362927 0xaeeb…1a87     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12373254 LI:#13362959   27/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:13:01 UTC Syncing #13362928 0xd4d0…3e20     0.20 blk/s   38.2 tx/s    2.9 Mgas/s      0+   33 Qed Ancient:#12373255 LI:#13362960   27/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:13:03 UTC Syncing #13362928 0xd4d0…3e20     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#12373255 LI:#13362963   25/25 peers      5 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:13:09 UTC Syncing #13362930 0x96ed…af8a     0.40 blk/s   18.8 tx/s    1.8 Mgas/s      0+   34 Qed Ancient:#12373257 LI:#13362963   25/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:13:13 UTC Syncing #13362930 0x96ed…af8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12373257 LI:#13362963   26/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:13:18 UTC Syncing #13362930 0x96ed…af8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#12373257 LI:#13362965   26/50 peers      5 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:13:24 UTC Syncing #13362930 0x96ed…af8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#12373257 LI:#13362965   26/50 peers      5 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:13:28 UTC Syncing #13362930 0x96ed…af8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12373257 LI:#13362966   25/25 peers      5 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:13:33 UTC Syncing #13362931 0x8e43…2cb9     0.20 blk/s   65.0 tx/s    5.9 Mgas/s      0+   36 Qed Ancient:#12373258 LI:#13362966   26/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:13:38 UTC Syncing #13362931 0x8e43…2cb9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#12373258 LI:#13362966   26/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:13:43 UTC Syncing #13362931 0x8e43…2cb9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12373258 LI:#13362967   26/50 peers      5 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:13:48 UTC Syncing #13362931 0x8e43…2cb9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12373258 LI:#13362967   26/50 peers      5 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:13:53 UTC Syncing #13362931 0x8e43…2cb9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12373258 LI:#13362967   26/50 peers      5 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:13:58 UTC Syncing #13362932 0xedd6…cbee     0.20 blk/s   58.0 tx/s    6.0 Mgas/s      0+   37 Qed Ancient:#12373259 LI:#13362968   27/50 peers      5 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:14:03 UTC Syncing #13362932 0xedd6…cbee     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12373259 LI:#13362968   27/50 peers      5 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:14:08 UTC Syncing #13362933 0x58ae…9d2a     0.40 blk/s   60.0 tx/s    6.0 Mgas/s      0+   35 Qed Ancient:#12373261 LI:#13362968   26/50 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:14:13 UTC Syncing #13362933 0x58ae…9d2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12373261 LI:#13362968   25/25 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:14:18 UTC Syncing #13362933 0x58ae…9d2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12373261 LI:#13362968   29/50 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:14:23 UTC Syncing #13362933 0x58ae…9d2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12373261 LI:#13362968   29/50 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:14:28 UTC Syncing #13362933 0x58ae…9d2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12373261 LI:#13362968   29/50 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:14:34 UTC Syncing #13362934 0x3227…a931     0.20 blk/s   81.6 tx/s    6.0 Mgas/s      0+   34 Qed Ancient:#12373262 LI:#13362968   29/50 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:14:38 UTC Syncing #13362934 0x3227…a931     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12373262 LI:#13362968   29/50 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:14:43 UTC Syncing #13362934 0x3227…a931     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12373262 LI:#13362968   30/50 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:14:48 UTC Syncing #13362934 0x3227…a931     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12373262 LI:#13362968   30/50 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:14:55 UTC Syncing #13362935 0x16c1…a45b     0.20 blk/s   57.0 tx/s    6.0 Mgas/s      0+   34 Qed Ancient:#12373263 LI:#13362969   30/50 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:14:58 UTC Syncing #13362935 0x16c1…a45b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12373263 LI:#13362969   30/50 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:15:03 UTC Syncing #13362935 0x16c1…a45b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12373263 LI:#13362969   29/50 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:15:08 UTC Syncing #13362935 0x16c1…a45b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12373263 LI:#13362969   30/50 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:15:13 UTC Syncing #13362935 0x16c1…a45b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12373263 LI:#13362969   30/50 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:15:25 UTC Syncing #13362936 0xa06d…313c     0.10 blk/s   33.5 tx/s    3.0 Mgas/s      0+   33 Qed Ancient:#12373264 LI:#13362969   32/50 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:15:25 UTC Syncing #13362936 0xa06d…313c     0.20 blk/s   67.0 tx/s    6.0 Mgas/s      0+   33 Qed Ancient:#12373264 LI:#13362969   32/50 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:15:32 UTC Syncing #13362937 0x0283…bf2a     0.20 blk/s   20.6 tx/s    2.2 Mgas/s      0+   32 Qed Ancient:#12373265 LI:#13362969   32/50 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:15:37 UTC Syncing #13362939 0x231e…f048     0.40 blk/s   17.2 tx/s    1.2 Mgas/s      0+   30 Qed Ancient:#12373267 LI:#13362969   32/50 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:15:41 UTC Syncing #13362939 0x231e…f048     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12373267 LI:#13362969   32/50 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:15:43 UTC Syncing #13362939 0x231e…f048     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12373267 LI:#13362970   32/50 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:15:48 UTC Syncing #13362939 0x231e…f048     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12373267 LI:#13362970   31/50 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:15:53 UTC Syncing #13362939 0x231e…f048     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12373267 LI:#13362970   31/50 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:16:05 UTC Syncing #13362939 0x231e…f048     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12373267 LI:#13362970   29/50 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:16:05 UTC Syncing #13362939 0x231e…f048     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12373267 LI:#13362970   29/50 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:16:08 UTC Syncing #13362939 0x231e…f048     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12373267 LI:#13362972   29/50 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:16:13 UTC Syncing #13362940 0x4a12…f06d     0.20 blk/s   85.0 tx/s    5.9 Mgas/s      0+   33 Qed Ancient:#12373268 LI:#13362973   28/50 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:16:18 UTC Syncing #13362940 0x4a12…f06d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12373268 LI:#13362973   28/50 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:16:23 UTC Syncing #13362940 0x4a12…f06d     0.20 blk/s   83.8 tx/s    6.0 Mgas/s      0+   32 Qed Ancient:#12373269 LI:#13362973   28/50 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:16:28 UTC Syncing #13362940 0x4a12…f06d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12373269 LI:#13362973   28/50 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
