2021-10-07 20:14:50 UTC Syncing #13373847 0x1cd6…4172     0.20 blk/s   70.0 tx/s    6.1 Mgas/s      0+   37 Qed Ancient:#12873462 LI:#13373883   19/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:14:54 UTC Syncing #13373847 0x1cd6…4172     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12873462 LI:#13373883   18/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:15:02 UTC Syncing #13373847 0x1cd6…4172     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12873462 LI:#13373884   21/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:15:05 UTC Syncing #13373847 0x1cd6…4172     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12873462 LI:#13373884   21/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:15:09 UTC Syncing #13373847 0x1cd6…4172     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12873462 LI:#13373884   20/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:15:16 UTC Syncing #13373848 0x14bf…e20a     0.20 blk/s   83.8 tx/s    6.0 Mgas/s      0+   37 Qed Ancient:#12873463 LI:#13373884   23/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:15:19 UTC Syncing #13373848 0x14bf…e20a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#12873463 LI:#13373886   21/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:15:24 UTC Syncing #13373848 0x14bf…e20a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#12873463 LI:#13373886   21/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:15:29 UTC Syncing #13373848 0x14bf…e20a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#12873463 LI:#13373886   21/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:15:34 UTC Syncing #13373848 0x14bf…e20a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#12873463 LI:#13373886   21/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:15:39 UTC Syncing #13373848 0x14bf…e20a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#12873463 LI:#13373886   21/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:15:47 UTC Syncing #13373849 0xd691…cdee     0.20 blk/s   82.0 tx/s    5.8 Mgas/s      0+   41 Qed Ancient:#12873464 LI:#13373889   20/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:15:49 UTC Syncing #13373849 0xd691…cdee     0.20 blk/s   74.2 tx/s    5.1 Mgas/s      0+   43 Qed Ancient:#12873465 LI:#13373892   19/25 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:15:52 UTC Reorg to #13373850 0x4b1c…21b7 (0xd691…cdee #13373848 0x14bf…e20a 0x0862…39d8)
2021-10-07 20:15:56 UTC Syncing #13373850 0x4b1c…21b7     0.20 blk/s   27.0 tx/s    2.1 Mgas/s      0+   43 Qed Ancient:#12873467 LI:#13373893   19/25 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:16:02 UTC Syncing #13373851 0xa018…6183     0.20 blk/s   22.8 tx/s    1.3 Mgas/s      0+   42 Qed Ancient:#12873468 LI:#13373893   19/25 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:16:05 UTC Syncing #13373851 0xa018…6183     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#12873468 LI:#13373894   11/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:16:09 UTC Syncing #13373851 0xa018…6183     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   44 Qed Ancient:#12873468 LI:#13373895   11/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:16:14 UTC Syncing #13373851 0xa018…6183     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   44 Qed Ancient:#12873468 LI:#13373895   11/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
