2021-10-06 03:08:23 UTC Syncing #13362911 0x161e…97c8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12373236 LI:#13362944   15/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:08:33 UTC Syncing #13362912 0x0ec8…ee10     0.20 blk/s    8.6 tx/s    0.6 Mgas/s      0+   34 Qed Ancient:#12373237 LI:#13362944   18/25 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:08:33 UTC Syncing #13362912 0x0ec8…ee10     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12373237 LI:#13362944   18/25 peers      4 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:08:39 UTC Syncing #13362913 0xb67f…7858     0.20 blk/s    8.2 tx/s    0.5 Mgas/s      0+   33 Qed Ancient:#12373238 LI:#13362944   19/25 peers      4 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:08:43 UTC Syncing #13362913 0xb67f…7858     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12373238 LI:#13362945   22/25 peers      4 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:08:49 UTC Syncing #13362914 0x7c3d…9f3d     0.20 blk/s   27.4 tx/s    0.7 Mgas/s      0+   33 Qed Ancient:#12373239 LI:#13362945   22/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:08:53 UTC Syncing #13362914 0x7c3d…9f3d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12373239 LI:#13362945   23/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:08:58 UTC Syncing #13362914 0x7c3d…9f3d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12373239 LI:#13362945   24/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:09:03 UTC Syncing #13362914 0x7c3d…9f3d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12373239 LI:#13362945   25/25 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:09:08 UTC Syncing #13362914 0x7c3d…9f3d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12373239 LI:#13362946   26/50 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:09:13 UTC Syncing #13362914 0x7c3d…9f3d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12373239 LI:#13362946   27/50 peers      7 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:09:22 UTC Syncing #13362914 0x7c3d…9f3d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12373239 LI:#13362946   26/50 peers      7 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:09:23 UTC Syncing #13362914 0x7c3d…9f3d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12373239 LI:#13362946   26/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:09:28 UTC Syncing #13362914 0x7c3d…9f3d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12373239 LI:#13362946   26/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:09:37 UTC Syncing #13362915 0x5846…04c8     0.20 blk/s   67.8 tx/s    6.0 Mgas/s      0+   33 Qed Ancient:#12373240 LI:#13362946   27/50 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:09:44 UTC Syncing #13362916 0xc9e5…858f     0.20 blk/s   24.6 tx/s    1.3 Mgas/s      0+   32 Qed Ancient:#12373241 LI:#13362946   27/50 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:09:44 UTC Syncing #13362916 0xc9e5…858f     0.10 blk/s   12.3 tx/s    0.6 Mgas/s      0+   32 Qed Ancient:#12373241 LI:#13362946   27/50 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:09:49 UTC Syncing #13362916 0xc9e5…858f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12373241 LI:#13362947   26/50 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:10:02 UTC Syncing #13362916 0xc9e5…858f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12373241 LI:#13362947   26/50 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:10:02 UTC Syncing #13362916 0xc9e5…858f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12373241 LI:#13362947   26/50 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:10:04 UTC Syncing #13362916 0xc9e5…858f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12373241 LI:#13362947   21/25 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:10:12 UTC Syncing #13362916 0xc9e5…858f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12373241 LI:#13362947   21/25 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:10:13 UTC Syncing #13362917 0xc9ba…37b2     0.20 blk/s   75.2 tx/s    6.0 Mgas/s      0+   32 Qed Ancient:#12373242 LI:#13362947   19/25 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:10:18 UTC Syncing #13362917 0xc9ba…37b2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12373242 LI:#13362947   23/25 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:10:26 UTC Syncing #13362917 0xc9ba…37b2     0.20 blk/s   75.8 tx/s    6.0 Mgas/s      0+   31 Qed Ancient:#12373243 LI:#13362947   25/25 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:10:28 UTC Syncing #13362917 0xc9ba…37b2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12373243 LI:#13362948   25/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:10:33 UTC Reorg to #13362918 0x1e75…f596 (0xc9ba…37b2 #13362916 0xc9e5…858f 0xfbee…80a1)
2021-10-06 03:10:33 UTC Syncing #13362918 0x1e75…f596     0.20 blk/s   23.4 tx/s    1.8 Mgas/s      0+   31 Qed Ancient:#12373244 LI:#13362948   25/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:10:38 UTC Syncing #13362918 0x1e75…f596     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12373244 LI:#13362949   23/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:10:44 UTC Syncing #13362918 0x1e75…f596     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12373244 LI:#13362949   24/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:10:48 UTC Syncing #13362918 0x1e75…f596     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12373244 LI:#13362950   23/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:10:54 UTC Syncing #13362919 0x8afb…4527     0.20 blk/s   57.4 tx/s    2.2 Mgas/s      0+   32 Qed Ancient:#12373246 LI:#13362950   23/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:10:58 UTC Syncing #13362920 0x7282…4e1b     0.20 blk/s   17.6 tx/s    1.3 Mgas/s      0+   31 Qed Ancient:#12373247 LI:#13362950   23/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:11:04 UTC Syncing #13362920 0x7282…4e1b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12373247 LI:#13362950   23/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:11:08 UTC Syncing #13362921 0xef1f…d335     0.20 blk/s   30.8 tx/s    2.0 Mgas/s      0+   31 Qed Ancient:#12373248 LI:#13362951   23/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:11:13 UTC Syncing #13362921 0xef1f…d335     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12373248 LI:#13362951   22/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:11:18 UTC Syncing #13362921 0xef1f…d335     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12373248 LI:#13362951   25/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:11:23 UTC Syncing #13362921 0xef1f…d335     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12373248 LI:#13362951   25/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:11:28 UTC Syncing #13362921 0xef1f…d335     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12373248 LI:#13362951   24/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
