2021-10-06 00:42:53 UTC Syncing #13362235 0x69b7…7513     0.20 blk/s   54.0 tx/s    5.8 Mgas/s      0+   38 Qed Ancient:#12343589 LI:#13362272   15/25 peers      1 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:42:55 UTC Syncing #13362235 0x69b7…7513     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12343590 LI:#13362273   16/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:43:00 UTC Syncing #13362235 0x69b7…7513     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12343590 LI:#13362273   18/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:43:09 UTC Syncing #13362236 0x1afc…d09a     0.20 blk/s   16.4 tx/s    2.1 Mgas/s      0+   37 Qed Ancient:#12343591 LI:#13362273   19/25 peers      2 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:43:10 UTC Syncing #13362236 0x1afc…d09a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12343591 LI:#13362273   19/25 peers      2 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:43:15 UTC Syncing #13362236 0x1afc…d09a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12343591 LI:#13362273   24/25 peers      2 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:43:28 UTC Syncing #13362236 0x1afc…d09a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12343591 LI:#13362274   24/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:43:28 UTC Syncing #13362236 0x1afc…d09a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12343591 LI:#13362274   24/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:43:33 UTC Syncing #13362236 0x1afc…d09a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12343591 LI:#13362274   24/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:43:35 UTC Syncing #13362236 0x1afc…d09a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12343591 LI:#13362274   21/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:43:45 UTC Syncing #13362237 0xa2a5…89fd     0.20 blk/s   78.2 tx/s    6.0 Mgas/s      0+   37 Qed Ancient:#12343592 LI:#13362274   21/25 peers      2 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:43:45 UTC Syncing #13362237 0xa2a5…89fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12343592 LI:#13362274   21/25 peers      2 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:43:50 UTC Syncing #13362237 0xa2a5…89fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12343592 LI:#13362274   21/25 peers      2 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:43:55 UTC Syncing #13362237 0xa2a5…89fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   40 Qed Ancient:#12343592 LI:#13362276   18/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:44:00 UTC Syncing #13362237 0xa2a5…89fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   40 Qed Ancient:#12343592 LI:#13362276   18/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:44:05 UTC Syncing #13362237 0xa2a5…89fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   40 Qed Ancient:#12343592 LI:#13362276   19/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:44:10 UTC Syncing #13362237 0xa2a5…89fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   40 Qed Ancient:#12343592 LI:#13362276   20/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:44:15 UTC Syncing #13362237 0xa2a5…89fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   40 Qed Ancient:#12343592 LI:#13362276   21/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:44:20 UTC Syncing #13362237 0xa2a5…89fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#12343592 LI:#13362277   22/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:44:25 UTC Syncing #13362237 0xa2a5…89fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#12343592 LI:#13362277   25/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:44:30 UTC Syncing #13362237 0xa2a5…89fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#12343592 LI:#13362278   25/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:44:44 UTC Syncing #13362237 0xa2a5…89fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#12343592 LI:#13362278   26/50 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:44:50 UTC Syncing #13362237 0xa2a5…89fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#12343592 LI:#13362278   27/50 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:44:59 UTC Syncing #13362238 0x48be…ee23     0.20 blk/s   33.4 tx/s    4.6 Mgas/s      0+   41 Qed Ancient:#12343593 LI:#13362278   27/50 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:45:08 UTC Syncing #13362240 0x8fe2…2e1f     0.20 blk/s    9.4 tx/s    0.9 Mgas/s      0+   39 Qed Ancient:#12343595 LI:#13362278   27/50 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:45:08 UTC Syncing #13362238 0x48be…ee23     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#12343593 LI:#13362278   27/50 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:45:17 UTC Syncing #13362240 0x8fe2…2e1f     0.20 blk/s    9.4 tx/s    0.9 Mgas/s      0+   39 Qed Ancient:#12343595 LI:#13362278   27/50 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:45:17 UTC Syncing #13362240 0x8fe2…2e1f     0.40 blk/s   18.8 tx/s    1.7 Mgas/s      0+   39 Qed Ancient:#12343595 LI:#13362278   27/50 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:45:20 UTC Syncing #13362240 0x8fe2…2e1f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#12343595 LI:#13362278   27/50 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:45:25 UTC Syncing #13362240 0x8fe2…2e1f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   40 Qed Ancient:#12343595 LI:#13362279   26/50 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:45:30 UTC Syncing #13362240 0x8fe2…2e1f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   40 Qed Ancient:#12343595 LI:#13362279   25/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:45:36 UTC Syncing #13362240 0x8fe2…2e1f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   40 Qed Ancient:#12343595 LI:#13362279   25/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:45:45 UTC Syncing #13362241 0xbb0c…4473     0.20 blk/s   66.6 tx/s    6.0 Mgas/s      0+   41 Qed Ancient:#12343596 LI:#13362281   21/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:45:45 UTC Syncing #13362241 0xbb0c…4473     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#12343596 LI:#13362282   19/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:45:50 UTC Syncing #13362242 0xf865…159d     0.20 blk/s   25.4 tx/s    2.2 Mgas/s      0+   42 Qed Ancient:#12343596 LI:#13362282   20/25 peers      3 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:45:55 UTC Syncing #13362243 0x089c…37b8     0.20 blk/s    4.2 tx/s    0.4 Mgas/s      0+   40 Qed Ancient:#12343598 LI:#13362283   20/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:46:00 UTC Syncing #13362243 0x089c…37b8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#12343598 LI:#13362284   23/25 peers      3 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:46:05 UTC Syncing #13362243 0x089c…37b8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#12343598 LI:#13362284   23/25 peers      3 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:46:17 UTC Syncing #13362244 0x5e53…4dac     0.09 blk/s   27.5 tx/s    2.6 Mgas/s      0+   44 Qed Ancient:#12343620 LI:#13362286   20/25 peers      3 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:46:17 UTC Syncing #13362243 0x089c…37b8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   44 Qed Ancient:#12343598 LI:#13362286   20/25 peers      3 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:46:27 UTC Syncing #13362244 0x5e53…4dac     0.29 blk/s   92.3 tx/s    8.7 Mgas/s      0+   43 Qed Ancient:#12343621 LI:#13362286   20/25 peers      3 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:46:27 UTC Syncing #13362244 0x5e53…4dac     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12343621 LI:#13362286   20/25 peers      3 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:46:30 UTC Syncing #13362244 0x5e53…4dac     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   44 Qed Ancient:#12343621 LI:#13362287   21/25 peers      3 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
