2021-10-07 14:48:16 UTC Syncing #13372382 0x89a1…7462     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12795855 LI:#13372406   18/25 peers    413 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:48:23 UTC Syncing #13372382 0x89a1…7462     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12795855 LI:#13372407   18/25 peers    573 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:48:33 UTC Syncing #13372383 0x3be5…ca41     0.20 blk/s   32.0 tx/s    2.0 Mgas/s      0+   26 Qed Ancient:#12795856 LI:#13372408   18/25 peers    853 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:48:33 UTC Syncing #13372383 0x3be5…ca41     0.10 blk/s   16.0 tx/s    1.0 Mgas/s      0+   26 Qed Ancient:#12795856 LI:#13372408   18/25 peers    853 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:48:36 UTC Syncing #13372383 0x3be5…ca41     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12795856 LI:#13372408   16/25 peers    853 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:48:41 UTC Syncing #13372383 0x3be5…ca41     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12795856 LI:#13372408   16/25 peers    853 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:48:46 UTC Syncing #13372383 0x3be5…ca41     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12795856 LI:#13372408   15/25 peers    853 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:48:52 UTC Syncing #13372383 0x3be5…ca41     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12795856 LI:#13372408   14/25 peers      1 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:48:56 UTC Syncing #13372383 0x3be5…ca41     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12795856 LI:#13372409   14/25 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:49:01 UTC Syncing #13372383 0x3be5…ca41     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12795856 LI:#13372409   14/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:49:13 UTC Syncing #13372383 0x3be5…ca41     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12795856 LI:#13372411   15/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:49:25 UTC Syncing #13372383 0x3be5…ca41     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12795856 LI:#13372413   14/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:49:32 UTC Syncing #13372384 0x4ba1…1730     0.19 blk/s   89.6 tx/s    5.7 Mgas/s      0+   30 Qed Ancient:#12795857 LI:#13372413   14/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:49:36 UTC Syncing #13372384 0x4ba1…1730     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12795857 LI:#13372414   14/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:49:42 UTC Syncing #13372384 0x4ba1…1730     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12795857 LI:#13372414   13/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:49:48 UTC Syncing #13372384 0x4ba1…1730     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12795857 LI:#13372414   12/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:49:51 UTC Syncing #13372384 0x4ba1…1730     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12795857 LI:#13372417   10/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:49:56 UTC Syncing #13372384 0x4ba1…1730     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12795857 LI:#13372417   11/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:50:01 UTC Syncing #13372384 0x4ba1…1730     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12795857 LI:#13372417   11/25 peers      7 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:50:06 UTC Syncing #13372384 0x4ba1…1730     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12795857 LI:#13372418   10/25 peers      7 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:50:25 UTC Syncing #13372387 0xf7d6…9fdc     0.30 blk/s   41.9 tx/s    2.8 Mgas/s      0+   32 Qed Ancient:#12795860 LI:#13372419   17/25 peers      7 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
