2021-10-06 02:00:49 UTC Syncing #13362576 0xee27…e085     0.20 blk/s   19.8 tx/s    1.5 Mgas/s      0+   27 Qed Ancient:#12356874 LI:#13362603    7/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:00:51 UTC Syncing #13362576 0xee27…e085     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12356874 LI:#13362604    7/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:00:56 UTC Syncing #13362576 0xee27…e085     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12356874 LI:#13362604    7/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:01:04 UTC Syncing #13362577 0x6904…dc29     0.20 blk/s   24.2 tx/s    2.8 Mgas/s      0+   27 Qed Ancient:#12356875 LI:#13362604    7/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:01:06 UTC Syncing #13362577 0x6904…dc29     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12356875 LI:#13362604    7/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:01:11 UTC Syncing #13362577 0x6904…dc29     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12356875 LI:#13362604    7/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:01:26 UTC Syncing #13362577 0x6904…dc29     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12356875 LI:#13362604    7/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:01:26 UTC Syncing #13362577 0x6904…dc29     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12356875 LI:#13362604    7/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:01:26 UTC Syncing #13362577 0x6904…dc29     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12356875 LI:#13362604    7/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:01:31 UTC Syncing #13362577 0x6904…dc29     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12356875 LI:#13362604    7/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
