2021-10-06 01:55:21 UTC Syncing #13362562 0xacb2…ab11     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12355409 LI:#13362574    8/25 peers    605 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:55:29 UTC Syncing #13362562 0xacb2…ab11     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12355409 LI:#13362574   12/25 peers    644 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:55:31 UTC Syncing #13362562 0xacb2…ab11     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12355409 LI:#13362575   11/25 peers    768 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:55:36 UTC Syncing #13362562 0xacb2…ab11     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12355409 LI:#13362575   12/25 peers    768 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:55:38 UTC Reorg to #13362563 0xffe1…134a (0xacb2…ab11 #13362561 0x7826…b484 0x0c73…41fc)
2021-10-06 01:55:44 UTC Syncing #13362563 0xffe1…134a     0.20 blk/s   64.2 tx/s    6.0 Mgas/s      0+   12 Qed Ancient:#12355410 LI:#13362576   13/25 peers    909 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:55:46 UTC Syncing #13362563 0xffe1…134a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12355410 LI:#13362576   13/25 peers    909 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:55:52 UTC Syncing #13362563 0xffe1…134a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12355410 LI:#13362577   12/25 peers    909 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:55:56 UTC Syncing #13362563 0xffe1…134a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12355410 LI:#13362577   12/25 peers    909 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:56:02 UTC Syncing #13362563 0xffe1…134a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12355410 LI:#13362577   14/25 peers    909 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:56:06 UTC Syncing #13362563 0xffe1…134a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12355410 LI:#13362577   15/25 peers    909 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:56:11 UTC Syncing #13362563 0xffe1…134a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12355410 LI:#13362577   16/25 peers    909 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:56:16 UTC Syncing #13362563 0xffe1…134a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12355410 LI:#13362577   15/25 peers    909 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:56:53 UTC Syncing #13362564 0x7000…834a     0.03 blk/s   11.1 tx/s    0.9 Mgas/s      0+   15 Qed Ancient:#12355690 LI:#13362579   14/25 peers    0 bytes chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:56:58 UTC Syncing #13362564 0x7000…834a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12355789 LI:#13362580   15/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:57:08 UTC Syncing #13362566 0x8259…3ca8     0.25 blk/s   14.2 tx/s    1.5 Mgas/s      0+   14 Qed Ancient:#12355824 LI:#13362580   15/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:57:08 UTC Syncing #13362564 0x7000…834a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12355789 LI:#13362580   15/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:57:18 UTC Syncing #13362566 0x8259…3ca8     0.41 blk/s   23.2 tx/s    2.5 Mgas/s      0+   14 Qed Ancient:#12355824 LI:#13362581   14/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:57:18 UTC Syncing #13362566 0x8259…3ca8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12355824 LI:#13362581   14/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:57:22 UTC Syncing #13362567 0xd778…64fd     0.32 blk/s   58.0 tx/s    4.2 Mgas/s      0+   15 Qed Ancient:#12355825 LI:#13362582   14/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:57:33 UTC Syncing #13362567 0xd778…64fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12355825 LI:#13362583   13/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:57:33 UTC Syncing #13362567 0xd778…64fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12355825 LI:#13362583   13/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:57:36 UTC Syncing #13362567 0xd778…64fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12355825 LI:#13362586   13/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:57:48 UTC Syncing #13362569 0x6a71…51f5     0.20 blk/s   29.8 tx/s    2.5 Mgas/s      0+   16 Qed Ancient:#12355827 LI:#13362586   12/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:57:48 UTC Syncing #13362568 0x6365…7c34     0.20 blk/s   49.2 tx/s    4.0 Mgas/s      0+   17 Qed Ancient:#12355826 LI:#13362586   12/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:57:54 UTC Syncing #13362569 0x6a71…51f5     0.20 blk/s   10.4 tx/s    0.9 Mgas/s      0+   17 Qed Ancient:#12355827 LI:#13362587   12/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:58:02 UTC Syncing #13362569 0x6a71…51f5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12355827 LI:#13362588   12/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:58:02 UTC Syncing #13362569 0x6a71…51f5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12355827 LI:#13362588   12/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:58:13 UTC Syncing #13362570 0xeff8…7991     0.10 blk/s   42.3 tx/s    3.0 Mgas/s      0+   18 Qed Ancient:#12355829 LI:#13362589   10/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:58:13 UTC Syncing #13362570 0xeff8…7991     0.20 blk/s   84.6 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#12355829 LI:#13362589   10/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:58:16 UTC Syncing #13362570 0xeff8…7991     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12355829 LI:#13362589    9/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:58:21 UTC Syncing #13362570 0xeff8…7991     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12355829 LI:#13362590    9/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:58:30 UTC Syncing #13362571 0xcca8…38cf     0.20 blk/s   62.8 tx/s    5.9 Mgas/s      0+   19 Qed Ancient:#12355830 LI:#13362591   10/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:58:31 UTC Syncing #13362571 0xcca8…38cf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12355830 LI:#13362591   11/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:58:49 UTC Syncing #13362571 0xcca8…38cf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12355830 LI:#13362591   19/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
