2021-10-07 17:35:25 UTC Syncing #13373148 0xadf7…7ea7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12838676 LI:#13373159    1/25 peers     74 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:35:42 UTC Syncing #13373148 0xadf7…7ea7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12838676 LI:#13373159    1/25 peers     74 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:35:42 UTC Syncing #13373148 0xadf7…7ea7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12838676 LI:#13373159    1/25 peers     74 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:35:42 UTC Syncing #13373148 0xadf7…7ea7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12838676 LI:#13373159    1/25 peers     74 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:35:45 UTC Syncing #13373148 0xadf7…7ea7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12838676 LI:#13373167    1/25 peers     74 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:35:54 UTC Syncing #13373150 0xdbf5…7487     0.40 blk/s   87.2 tx/s    6.0 Mgas/s      0+   21 Qed Ancient:#12838678 LI:#13373172    1/25 peers    145 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:35:55 UTC Syncing #13373150 0xdbf5…7487     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12838678 LI:#13373172    1/25 peers    145 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:36:00 UTC Syncing #13373150 0xdbf5…7487     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12838678 LI:#13373172    0/25 peers    145 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:36:05 UTC Syncing #13373150 0xdbf5…7487     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12838678 LI:#13373172    0/25 peers    145 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:36:10 UTC Syncing #13373150 0xdbf5…7487     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12838678 LI:#13373172    1/25 peers    145 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:36:15 UTC Syncing #13373150 0xdbf5…7487     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12838678 LI:#13373172    1/25 peers    145 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:36:20 UTC Syncing #13373150 0xdbf5…7487     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12838678 LI:#13373172    1/25 peers    145 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:36:28 UTC Syncing #13373151 0x24cd…57f8     0.20 blk/s   92.8 tx/s    6.0 Mgas/s      0+   20 Qed Ancient:#12838679 LI:#13373172    1/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:36:30 UTC Syncing #13373151 0x24cd…57f8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12838679 LI:#13373172    1/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:36:35 UTC Syncing #13373151 0x24cd…57f8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12838679 LI:#13373172    2/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:36:40 UTC Syncing #13373151 0x24cd…57f8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12838679 LI:#13373172    2/25 peers    253 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:36:45 UTC Syncing #13373152 0x2bf9…a3de     0.20 blk/s   75.6 tx/s    5.8 Mgas/s      0+   19 Qed Ancient:#12838680 LI:#13373172    0/25 peers    526 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:36:51 UTC Syncing #13373152 0x2bf9…a3de     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12838680 LI:#13373172    0/25 peers    526 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:37:03 UTC Syncing #13373154 0x6e3e…ee25     0.20 blk/s   18.7 tx/s    1.3 Mgas/s      0+   17 Qed Ancient:#12838682 LI:#13373172    0/25 peers    527 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:37:03 UTC Syncing #13373153 0x31e7…e437     0.20 blk/s   28.2 tx/s    2.0 Mgas/s      0+   18 Qed Ancient:#12838681 LI:#13373172    0/25 peers    527 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:37:05 UTC Syncing #13373154 0x6e3e…ee25     0.20 blk/s    9.2 tx/s    0.7 Mgas/s      0+   17 Qed Ancient:#12838682 LI:#13373172    0/25 peers    527 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
