2021-10-06 01:40:51 UTC Syncing #13362502 0x1264…271e     0.20 blk/s   55.4 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#12351707 LI:#13362509   34/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:40:56 UTC Syncing #13362503 0x85c2…d611     0.20 blk/s   11.6 tx/s    1.1 Mgas/s      0+    6 Qed Ancient:#12351708 LI:#13362509   34/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:41:01 UTC Syncing #13362504 0x6e8a…f599     0.20 blk/s   83.6 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#12351709 LI:#13362509   36/50 peers      3 MiB chain  607 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:41:06 UTC Syncing #13362504 0x6e8a…f599     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12351709 LI:#13362510   35/50 peers      3 MiB chain  718 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:41:25 UTC Imported #13362511 0x326e…7424 (180 txs, 14.35 Mgas, 4737 ms, 96.33 KiB)
2021-10-06 01:42:20 UTC  Ancient:#12353086 AB:#12355040   33/50 peers     72 KiB chain 776 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:42:20 UTC  Ancient:#12353083 AB:#12355040   33/50 peers     37 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:42:20 UTC  Ancient:#12353085 AB:#12355040   33/50 peers     36 KiB chain 776 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:42:20 UTC  Ancient:#12353086 AB:#12355040   33/50 peers     72 KiB chain 776 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:42:26 UTC Syncing #13362511 0x326e…7424     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12353087 LI:#13362516   30/50 peers    216 KiB chain  685 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
