2021-10-07 18:54:30 UTC Syncing #13373478 0xbf56…2d3f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12853381 LI:#13373498    5/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:54:39 UTC Syncing #13373480 0xfbf5…4123     0.20 blk/s   31.7 tx/s    2.0 Mgas/s      0+   20 Qed Ancient:#12853383 LI:#13373498    5/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:54:39 UTC Syncing #13373480 0xfbf5…4123     0.40 blk/s   63.4 tx/s    4.0 Mgas/s      0+   20 Qed Ancient:#12853383 LI:#13373498    5/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:54:48 UTC Syncing #13373480 0xfbf5…4123     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12853383 LI:#13373498    5/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:54:48 UTC Syncing #13373480 0xfbf5…4123     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12853383 LI:#13373498    5/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:54:53 UTC Syncing #13373480 0xfbf5…4123     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12853383 LI:#13373498    1/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:54:58 UTC Syncing #13373480 0xfbf5…4123     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12853383 LI:#13373498    0/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:55:03 UTC Syncing #13373481 0x6b09…8794     0.20 blk/s   77.0 tx/s    6.0 Mgas/s      0+   19 Qed Ancient:#12853384 LI:#13373498    1/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:55:08 UTC Syncing #13373481 0x6b09…8794     0.20 blk/s   58.0 tx/s    3.9 Mgas/s      0+   18 Qed Ancient:#12853385 LI:#13373498    1/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:55:17 UTC Syncing #13373482 0x3b6a…4103     0.20 blk/s   33.2 tx/s    2.2 Mgas/s      0+   17 Qed Ancient:#12853386 LI:#13373498    1/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:55:18 UTC Syncing #13373482 0x3b6a…4103     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12853386 LI:#13373498    1/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:55:23 UTC Syncing #13373482 0x3b6a…4103     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12853386 LI:#13373498    1/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:55:28 UTC Syncing #13373482 0x3b6a…4103     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12853386 LI:#13373498    1/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:55:33 UTC Syncing #13373482 0x3b6a…4103     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12853386 LI:#13373498    2/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:55:39 UTC Syncing #13373484 0x38d0…090f     0.40 blk/s   68.0 tx/s    5.2 Mgas/s      0+   15 Qed Ancient:#12853389 LI:#13373498    4/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:55:43 UTC Syncing #13373484 0x38d0…090f     0.20 blk/s   58.8 tx/s    4.5 Mgas/s      0+   14 Qed Ancient:#12853390 LI:#13373498    3/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:55:48 UTC Syncing #13373484 0x38d0…090f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12853390 LI:#13373498    3/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:55:56 UTC Syncing #13373485 0xd5dc…833d     0.20 blk/s   22.0 tx/s    2.7 Mgas/s      0+   13 Qed Ancient:#12853391 LI:#13373498    3/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:55:59 UTC Syncing #13373486 0x837d…617b     0.40 blk/s   42.4 tx/s    2.1 Mgas/s      0+   11 Qed Ancient:#12853393 LI:#13373498    3/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:56:03 UTC Syncing #13373486 0x837d…617b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12853393 LI:#13373498    3/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:56:08 UTC Syncing #13373486 0x837d…617b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12853393 LI:#13373497    3/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
