2021-10-07 18:49:23 UTC Syncing #13373457 0xe72d…8b2e     0.20 blk/s   45.8 tx/s    3.3 Mgas/s      0+   26 Qed Ancient:#12853358 LI:#13373481   22/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:49:28 UTC Syncing #13373457 0xe72d…8b2e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12853358 LI:#13373481   26/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:49:37 UTC Syncing #13373458 0xf067…8642     0.20 blk/s   27.2 tx/s    2.2 Mgas/s      0+   25 Qed Ancient:#12853359 LI:#13373481   25/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:49:38 UTC Syncing #13373458 0xf067…8642     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12853359 LI:#13373481   25/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:49:43 UTC Syncing #13373458 0xf067…8642     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12853359 LI:#13373481   27/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:49:48 UTC Syncing #13373458 0xf067…8642     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12853359 LI:#13373484   24/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:49:53 UTC Syncing #13373459 0x812a…db0e     0.20 blk/s   63.0 tx/s    3.5 Mgas/s      0+   28 Qed Ancient:#12853360 LI:#13373483   24/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:49:59 UTC Syncing #13373460 0xc509…349e     0.20 blk/s    5.0 tx/s    0.2 Mgas/s      0+   27 Qed Ancient:#12853361 LI:#13373483   24/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:50:07 UTC Syncing #13373460 0xc509…349e     0.20 blk/s   57.2 tx/s    3.3 Mgas/s      0+   29 Qed Ancient:#12853362 LI:#13373486   24/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:50:08 UTC Syncing #13373460 0xc509…349e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#12853362 LI:#13373486   24/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:50:19 UTC Syncing #13373460 0xc509…349e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#12853362 LI:#13373486   26/50 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:50:19 UTC Syncing #13373460 0xc509…349e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#12853362 LI:#13373486   26/50 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:50:29 UTC Syncing #13373463 0x938d…5da3     0.30 blk/s   36.1 tx/s    2.9 Mgas/s      0+   26 Qed Ancient:#12853365 LI:#13373486   28/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:50:29 UTC Syncing #13373462 0x12cd…3f2a     0.40 blk/s   63.8 tx/s    5.2 Mgas/s      0+   27 Qed Ancient:#12853364 LI:#13373486   28/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:50:37 UTC Syncing #13373463 0x938d…5da3     0.20 blk/s    8.4 tx/s    0.7 Mgas/s      0+   27 Qed Ancient:#12853365 LI:#13373487   28/50 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
