2021-10-06 02:36:48 UTC Syncing #13362735 0x6dfe…edda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   52 Qed Ancient:#12367408 LI:#13362788   18/25 peers      5 MiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:36:48 UTC Syncing #13362735 0x6dfe…edda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   53 Qed Ancient:#12367408 LI:#13362788   18/25 peers      5 MiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:36:51 UTC Syncing #13362735 0x6dfe…edda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   55 Qed Ancient:#12367408 LI:#13362789   18/25 peers      5 MiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:37:04 UTC Syncing #13362737 0x9bbc…137d     0.20 blk/s   44.7 tx/s    4.2 Mgas/s      0+   53 Qed Ancient:#12367410 LI:#13362789   17/25 peers      5 MiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:37:04 UTC Syncing #13362736 0x0734…5cc0     0.20 blk/s   64.8 tx/s    6.0 Mgas/s      0+   54 Qed Ancient:#12367409 LI:#13362789   17/25 peers      5 MiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:37:13 UTC Syncing #13362737 0x9bbc…137d     0.20 blk/s   24.6 tx/s    2.5 Mgas/s      0+   54 Qed Ancient:#12367410 LI:#13362790   17/25 peers      5 MiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:37:13 UTC Syncing #13362737 0x9bbc…137d     0.10 blk/s   12.4 tx/s    1.2 Mgas/s      0+   54 Qed Ancient:#12367410 LI:#13362790   17/25 peers      5 MiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:37:22 UTC Syncing #13362738 0x908c…eedf     0.10 blk/s   17.5 tx/s    1.3 Mgas/s      0+   53 Qed Ancient:#12367411 LI:#13362790   17/25 peers      5 MiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:37:22 UTC Syncing #13362738 0x908c…eedf     0.20 blk/s   35.0 tx/s    2.7 Mgas/s      0+   53 Qed Ancient:#12367411 LI:#13362790   17/25 peers      5 MiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:37:26 UTC Syncing #13362738 0x908c…eedf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#12367411 LI:#13362794   16/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:37:31 UTC Syncing #13362738 0x908c…eedf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   57 Qed Ancient:#12367411 LI:#13362794   11/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:37:36 UTC Syncing #13362738 0x908c…eedf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   58 Qed Ancient:#12367411 LI:#13362795   14/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:37:48 UTC Syncing #13362740 0x1c36…e7ce     0.20 blk/s   37.5 tx/s    2.1 Mgas/s      0+   56 Qed Ancient:#12367413 LI:#13362795   14/25 peers      5 MiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:37:48 UTC Syncing #13362740 0x1c36…e7ce     0.40 blk/s   75.0 tx/s    4.3 Mgas/s      0+   56 Qed Ancient:#12367413 LI:#13362795   14/25 peers      5 MiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:37:57 UTC Syncing #13362740 0x1c36…e7ce     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   57 Qed Ancient:#12367413 LI:#13362796   14/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:37:57 UTC Syncing #13362740 0x1c36…e7ce     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   57 Qed Ancient:#12367413 LI:#13362796   14/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:38:01 UTC Syncing #13362740 0x1c36…e7ce     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   58 Qed Ancient:#12367413 LI:#13362797   11/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:38:16 UTC Syncing #13362740 0x1c36…e7ce     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   58 Qed Ancient:#12367413 LI:#13362797   16/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:38:16 UTC Syncing #13362740 0x1c36…e7ce     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   58 Qed Ancient:#12367413 LI:#13362797   16/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:38:16 UTC Syncing #13362740 0x1c36…e7ce     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   59 Qed Ancient:#12367413 LI:#13362798   16/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:38:26 UTC Syncing #13362741 0xc4b1…1c9b     0.10 blk/s   27.4 tx/s    2.6 Mgas/s      0+   58 Qed Ancient:#12367414 LI:#13362798   16/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:38:26 UTC Syncing #13362741 0xc4b1…1c9b     0.20 blk/s   54.8 tx/s    5.1 Mgas/s      0+   58 Qed Ancient:#12367414 LI:#13362798   16/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:38:33 UTC Syncing #13362741 0xc4b1…1c9b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   61 Qed Ancient:#12367414 LI:#13362800   14/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:38:36 UTC Syncing #13362741 0xc4b1…1c9b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   61 Qed Ancient:#12367414 LI:#13362800   14/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:38:45 UTC Syncing #13362742 0xa7ef…45dc     0.20 blk/s  101.0 tx/s    4.4 Mgas/s      0+   60 Qed Ancient:#12367415 LI:#13362800   14/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:38:55 UTC Syncing #13362743 0xe8c6…e542     0.10 blk/s   12.0 tx/s    0.7 Mgas/s      0+   59 Qed Ancient:#12367416 LI:#13362800   14/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:38:55 UTC Syncing #13362743 0xe8c6…e542     0.20 blk/s   24.0 tx/s    1.4 Mgas/s      0+   59 Qed Ancient:#12367416 LI:#13362800   14/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:39:04 UTC Syncing #13362745 0xb1b4…0160     0.20 blk/s   22.5 tx/s    1.8 Mgas/s      0+   57 Qed Ancient:#12367418 LI:#13362800   14/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:39:04 UTC Syncing #13362744 0xe8b6…e613     0.20 blk/s   41.8 tx/s    3.5 Mgas/s      0+   58 Qed Ancient:#12367417 LI:#13362800   14/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:39:11 UTC Syncing #13362745 0xb1b4…0160     0.20 blk/s    3.2 tx/s    0.2 Mgas/s      0+   57 Qed Ancient:#12367418 LI:#13362800   14/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
