2021-10-06 02:31:42 UTC Syncing #13362718 0xc45b…01c3     0.20 blk/s   14.8 tx/s    1.1 Mgas/s      0+   44 Qed Ancient:#12367370 LI:#13362763    3/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:31:48 UTC Syncing #13362719 0xda28…3735     0.20 blk/s    9.6 tx/s    0.9 Mgas/s      0+   43 Qed Ancient:#12367371 LI:#13362763    3/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:31:52 UTC Syncing #13362719 0xda28…3735     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12367371 LI:#13362763    3/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:31:56 UTC Syncing #13362719 0xda28…3735     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12367371 LI:#13362763    2/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:32:01 UTC Syncing #13362719 0xda28…3735     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12367371 LI:#13362763    2/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:32:07 UTC Syncing #13362719 0xda28…3735     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12367371 LI:#13362763    4/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:32:11 UTC Syncing #13362719 0xda28…3735     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#12367371 LI:#13362767    6/25 peers      2 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:32:16 UTC Syncing #13362719 0xda28…3735     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#12367371 LI:#13362767    7/25 peers      2 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:32:21 UTC Syncing #13362719 0xda28…3735     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#12367371 LI:#13362767    9/25 peers      2 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:32:33 UTC Syncing #13362720 0xe86c…1387     0.10 blk/s   40.2 tx/s    3.0 Mgas/s      0+   48 Qed Ancient:#12367374 LI:#13362769   12/25 peers      2 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:32:33 UTC Syncing #13362720 0xe86c…1387     0.20 blk/s   80.4 tx/s    6.0 Mgas/s      0+   48 Qed Ancient:#12367374 LI:#13362769   12/25 peers      2 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:32:44 UTC Syncing #13362721 0xd02b…dfa3     0.10 blk/s   10.6 tx/s    2.2 Mgas/s      0+   47 Qed Ancient:#12367375 LI:#13362769   10/25 peers      2 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:32:44 UTC Syncing #13362721 0xd02b…dfa3     0.20 blk/s   21.2 tx/s    4.3 Mgas/s      0+   47 Qed Ancient:#12367375 LI:#13362769   10/25 peers      2 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:32:46 UTC Syncing #13362721 0xd02b…dfa3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   49 Qed Ancient:#12367375 LI:#13362771    7/25 peers      2 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:32:52 UTC Syncing #13362721 0xd02b…dfa3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   50 Qed Ancient:#12367375 LI:#13362772    6/25 peers      2 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:32:58 UTC Syncing #13362721 0xd02b…dfa3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   51 Qed Ancient:#12367375 LI:#13362773    6/25 peers      2 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:33:01 UTC Syncing #13362721 0xd02b…dfa3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   51 Qed Ancient:#12367375 LI:#13362773   10/25 peers      3 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:33:09 UTC Syncing #13362721 0xd02b…dfa3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   52 Qed Ancient:#12367375 LI:#13362774   11/25 peers      3 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:33:13 UTC Syncing #13362721 0xd02b…dfa3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   52 Qed Ancient:#12367375 LI:#13362774   11/25 peers      3 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:33:16 UTC Syncing #13362721 0xd02b…dfa3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   52 Qed Ancient:#12367375 LI:#13362774   11/25 peers      3 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:33:21 UTC Syncing #13362721 0xd02b…dfa3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   52 Qed Ancient:#12367375 LI:#13362774   11/25 peers      3 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:33:26 UTC Syncing #13362722 0x6890…1835     0.20 blk/s   77.0 tx/s    6.0 Mgas/s      0+   52 Qed Ancient:#12367377 LI:#13362775   11/25 peers      3 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:33:36 UTC Syncing #13362722 0x6890…1835     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   52 Qed Ancient:#12367377 LI:#13362775   11/25 peers      3 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:33:36 UTC Syncing #13362722 0x6890…1835     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   52 Qed Ancient:#12367377 LI:#13362775   11/25 peers      3 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:33:47 UTC Syncing #13362724 0x0063…ec8e     0.20 blk/s   16.1 tx/s    1.4 Mgas/s      0+   50 Qed Ancient:#12367379 LI:#13362775   10/25 peers      3 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:33:47 UTC Syncing #13362723 0x2c6b…367b     0.20 blk/s   22.4 tx/s    2.0 Mgas/s      0+   51 Qed Ancient:#12367378 LI:#13362775   10/25 peers      3 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:34:00 UTC Syncing #13362724 0x0063…ec8e     0.20 blk/s    9.8 tx/s    0.8 Mgas/s      0+   51 Qed Ancient:#12367379 LI:#13362776    8/25 peers      3 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:34:00 UTC Syncing #13362724 0x0063…ec8e     0.10 blk/s    4.9 tx/s    0.4 Mgas/s      0+   51 Qed Ancient:#12367379 LI:#13362776    8/25 peers      3 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:34:05 UTC Syncing #13362725 0x5cf7…3ad9     0.20 blk/s   28.0 tx/s    1.9 Mgas/s      0+   50 Qed Ancient:#12367380 LI:#13362776    9/25 peers      3 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:34:06 UTC Syncing #13362725 0x5cf7…3ad9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   50 Qed Ancient:#12367380 LI:#13362776    9/25 peers      3 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:34:11 UTC Syncing #13362725 0x5cf7…3ad9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   51 Qed Ancient:#12367380 LI:#13362777    9/25 peers      3 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:34:18 UTC Syncing #13362725 0x5cf7…3ad9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   51 Qed Ancient:#12367380 LI:#13362777    9/25 peers      3 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:34:22 UTC Syncing #13362725 0x5cf7…3ad9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   51 Qed Ancient:#12367380 LI:#13362777    8/25 peers      3 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
