2021-10-06 06:52:14 UTC Syncing #13363949 0xb770…ab99     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12420088 LI:#13363954    4/25 peers    638 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:52:23 UTC Syncing #13363950 0x5fce…e93f     0.20 blk/s   94.2 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#12420089 LI:#13363954    3/25 peers    638 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:52:24 UTC Syncing #13363950 0x5fce…e93f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12420089 LI:#13363954    3/25 peers    638 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:52:29 UTC Syncing #13363950 0x5fce…e93f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12420089 LI:#13363954    3/25 peers    638 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:52:34 UTC Syncing #13363950 0x5fce…e93f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12420089 LI:#13363954    3/25 peers    638 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:52:41 UTC Syncing #13363951 0x11a4…c39f     0.20 blk/s   65.8 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#12420089 LI:#13363955    3/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:52:44 UTC Syncing #13363951 0x11a4…c39f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12420090 LI:#13363955    3/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:52:49 UTC Syncing #13363951 0x11a4…c39f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12420090 LI:#13363956    3/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:52:54 UTC Syncing #13363951 0x11a4…c39f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12420090 LI:#13363956    3/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:52:59 UTC Syncing #13363951 0x11a4…c39f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12420090 LI:#13363956    3/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:53:05 UTC Syncing #13363952 0x5fa1…f636     0.20 blk/s   47.4 tx/s    5.8 Mgas/s      0+    4 Qed Ancient:#12420091 LI:#13363956    3/25 peers      1 MiB chain 1015 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:53:14 UTC Syncing #13363952 0x5fa1…f636     0.10 blk/s   24.3 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#12420092 LI:#13363957    4/25 peers      2 MiB chain  967 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:53:51 UTC  Ancient:#12420097 AB:#12421048    3/25 peers      2 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:53:51 UTC  Ancient:#12420097 AB:#12421048    3/25 peers      2 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:55:07 UTC Syncing #13363957 0xe0f8…5994     0.02 blk/s    3.1 tx/s    0.4 Mgas/s      0+    4 Qed Ancient:#12420543 LI:#13363962    1/25 peers    0 bytes chain  784 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:55:07 UTC Syncing #13363957 0xe0f8…5994     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12420543 LI:#13363962    1/25 peers   744 bytes chain  784 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
