2021-10-08 05:14:29 UTC Syncing #13376252 0x9698…978a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12982045 LI:#13376260   23/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:14:34 UTC Syncing #13376252 0x9698…978a     0.20 blk/s   45.4 tx/s    6.0 Mgas/s      0+    9 Qed Ancient:#12982046 LI:#13376262   24/25 peers      7 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:14:39 UTC Syncing #13376252 0x9698…978a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12982046 LI:#13376262   25/25 peers      7 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:14:44 UTC Syncing #13376252 0x9698…978a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12982046 LI:#13376262   25/25 peers      8 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:14:49 UTC Syncing #13376252 0x9698…978a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12982046 LI:#13376262   25/25 peers      8 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:14:54 UTC Syncing #13376252 0x9698…978a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12982046 LI:#13376262   25/25 peers      8 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:14:59 UTC Syncing #13376254 0x6254…81ad     0.40 blk/s   81.0 tx/s    5.7 Mgas/s      0+    7 Qed Ancient:#12982049 LI:#13376262   25/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:15:04 UTC Syncing #13376255 0xf97c…2455     0.20 blk/s   20.4 tx/s    0.8 Mgas/s      0+    7 Qed Ancient:#12982050 LI:#13376263   26/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:15:10 UTC Syncing #13376256 0x1c8c…8b20     0.20 blk/s   11.2 tx/s    3.3 Mgas/s      0+    6 Qed Ancient:#12982051 LI:#13376263   24/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:15:14 UTC Syncing #13376257 0xf24a…3a9b     0.20 blk/s   24.8 tx/s    1.6 Mgas/s      0+    5 Qed Ancient:#12982052 LI:#13376263   24/25 peers      3 MiB chain  961 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:15:19 UTC Syncing #13376257 0xf24a…3a9b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12982052 LI:#13376263   24/25 peers      3 MiB chain  961 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:15:24 UTC Syncing #13376257 0xf24a…3a9b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12982052 LI:#13376264   23/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:15:29 UTC Syncing #13376258 0x3377…3155     0.20 blk/s   40.0 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#12982054 LI:#13376264   24/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:15:34 UTC Syncing #13376259 0x317e…3563     0.20 blk/s   13.4 tx/s    0.9 Mgas/s      0+    5 Qed Ancient:#12982055 LI:#13376265   23/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:16:00 UTC Syncing #13376259 0x317e…3563     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12982055 LI:#13376266   23/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
