2021-10-06 06:32:32 UTC Syncing #13363841 0xb4fe…d1af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12417545 LI:#13363872   26/50 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:32:34 UTC Syncing #13363841 0xb4fe…d1af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12417545 LI:#13363872   26/50 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:32:39 UTC Syncing #13363841 0xb4fe…d1af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12417545 LI:#13363872   25/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:32:48 UTC Syncing #13363841 0xb4fe…d1af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12417545 LI:#13363872   24/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:32:55 UTC Syncing #13363841 0xb4fe…d1af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12417545 LI:#13363873   24/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:32:55 UTC Syncing #13363842 0x017e…6ed9     0.10 blk/s   28.0 tx/s    3.0 Mgas/s      0+   32 Qed Ancient:#12417547 LI:#13363873   24/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:33:01 UTC Syncing #13363843 0x90c8…f394     0.20 blk/s   28.8 tx/s    2.6 Mgas/s      0+   32 Qed Ancient:#12417548 LI:#13363873   24/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:33:06 UTC Syncing #13363843 0x90c8…f394     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12417548 LI:#13363873   24/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:33:13 UTC Syncing #13363844 0xe9a5…6c21     0.20 blk/s   27.0 tx/s    1.9 Mgas/s      0+   31 Qed Ancient:#12417549 LI:#13363873   23/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:33:15 UTC Syncing #13363844 0xe9a5…6c21     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12417549 LI:#13363873   23/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:33:19 UTC Syncing #13363844 0xe9a5…6c21     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12417549 LI:#13363873   20/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:33:24 UTC Syncing #13363844 0xe9a5…6c21     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12417549 LI:#13363873   20/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:33:33 UTC Syncing #13363845 0xebcb…4c75     0.20 blk/s   59.8 tx/s    4.7 Mgas/s      0+   30 Qed Ancient:#12417550 LI:#13363873   20/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:33:34 UTC Syncing #13363845 0xebcb…4c75     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12417550 LI:#13363874   20/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:33:52 UTC Syncing #13363847 0xeca7…4c19     0.20 blk/s   18.2 tx/s    1.4 Mgas/s      0+   30 Qed Ancient:#12417552 LI:#13363875   20/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:33:52 UTC Syncing #13363847 0xeca7…4c19     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12417552 LI:#13363875   20/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:33:52 UTC Syncing #13363846 0xb5da…09f6     0.20 blk/s    7.8 tx/s    0.7 Mgas/s      0+   31 Qed Ancient:#12417551 LI:#13363875   20/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:33:58 UTC Syncing #13363847 0xeca7…4c19     0.20 blk/s   28.6 tx/s    2.1 Mgas/s      0+   31 Qed Ancient:#12417552 LI:#13363876   18/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:34:04 UTC Syncing #13363848 0x22df…8079     0.20 blk/s   38.6 tx/s    1.9 Mgas/s      0+   30 Qed Ancient:#12417553 LI:#13363876   17/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:34:04 UTC Syncing #13363848 0x22df…8079     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12417553 LI:#13363876   17/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:34:09 UTC Syncing #13363848 0x22df…8079     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12417553 LI:#13363876   17/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:34:19 UTC Syncing #13363849 0xa712…875d     0.10 blk/s   20.4 tx/s    1.6 Mgas/s      0+   30 Qed Ancient:#12417554 LI:#13363877   17/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:34:19 UTC Syncing #13363849 0xa712…875d     0.20 blk/s   40.8 tx/s    3.2 Mgas/s      0+   30 Qed Ancient:#12417554 LI:#13363877   17/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:34:31 UTC Syncing #13363850 0x678c…e56b     0.10 blk/s    7.6 tx/s    0.4 Mgas/s      0+   29 Qed Ancient:#12417555 LI:#13363877   17/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:34:31 UTC Syncing #13363850 0x678c…e56b     0.20 blk/s   15.2 tx/s    0.9 Mgas/s      0+   29 Qed Ancient:#12417555 LI:#13363877   17/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:34:34 UTC Syncing #13363850 0x678c…e56b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12417555 LI:#13363879   17/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:34:39 UTC Syncing #13363850 0x678c…e56b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12417555 LI:#13363879   17/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:34:44 UTC Syncing #13363850 0x678c…e56b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12417555 LI:#13363881   20/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:34:49 UTC Syncing #13363850 0x678c…e56b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12417555 LI:#13363881   21/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:34:59 UTC Syncing #13363852 0x0938…5d04     0.40 blk/s   82.0 tx/s    4.7 Mgas/s      0+   31 Qed Ancient:#12417557 LI:#13363881   21/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:34:59 UTC Syncing #13363852 0x0938…5d04     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12417557 LI:#13363881   21/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:35:05 UTC Syncing #13363853 0x56f1…a888     0.20 blk/s   71.6 tx/s    3.9 Mgas/s      0+   30 Qed Ancient:#12417558 LI:#13363881   21/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:35:09 UTC Syncing #13363854 0xac6b…3e20     0.20 blk/s    8.0 tx/s    0.8 Mgas/s      0+   29 Qed Ancient:#12417559 LI:#13363881   20/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:35:15 UTC Syncing #13363854 0xac6b…3e20     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#12417559 LI:#13363881   20/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:35:20 UTC Syncing #13363855 0x5b93…531c     0.20 blk/s   25.0 tx/s    2.1 Mgas/s      0+   28 Qed Ancient:#12417561 LI:#13363881   20/25 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:35:25 UTC Syncing #13363855 0x5b93…531c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12417561 LI:#13363881   20/25 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:35:29 UTC Syncing #13363855 0x5b93…531c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12417561 LI:#13363881   20/25 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
