2021-10-07 22:56:26 UTC Syncing #13374562 0x64fb…a04f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12907572 LI:#13374584   18/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:56:35 UTC Syncing #13374563 0xd3cf…e5ab     0.20 blk/s   73.8 tx/s    4.5 Mgas/s      0+   21 Qed Ancient:#12907573 LI:#13374584   17/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:56:39 UTC Syncing #13374564 0x6b66…bfd9     0.20 blk/s    5.4 tx/s    0.5 Mgas/s      0+   20 Qed Ancient:#12907574 LI:#13374584   17/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:56:41 UTC Syncing #13374564 0x6b66…bfd9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12907574 LI:#13374584   17/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:56:46 UTC Syncing #13374564 0x6b66…bfd9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12907574 LI:#13374584   18/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:56:54 UTC Syncing #13374564 0x6b66…bfd9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12907574 LI:#13374585   18/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:57:02 UTC Syncing #13374565 0xf516…1647     0.10 blk/s   12.6 tx/s    2.0 Mgas/s      0+   20 Qed Ancient:#12907575 LI:#13374585   18/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:57:02 UTC Syncing #13374565 0xf516…1647     0.20 blk/s   25.2 tx/s    3.9 Mgas/s      0+   20 Qed Ancient:#12907575 LI:#13374585   18/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:57:10 UTC Syncing #13374566 0x48db…2068     0.20 blk/s   33.0 tx/s    2.7 Mgas/s      0+   22 Qed Ancient:#12907575 LI:#13374587   14/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:57:17 UTC Syncing #13374567 0x8973…4cbf     0.10 blk/s    6.4 tx/s    0.4 Mgas/s      0+   20 Qed Ancient:#12907577 LI:#13374587   14/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:57:17 UTC Syncing #13374567 0x8973…4cbf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12907576 LI:#13374587   14/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:57:27 UTC Syncing #13374567 0x8973…4cbf     0.20 blk/s   12.8 tx/s    0.8 Mgas/s      0+   20 Qed Ancient:#12907577 LI:#13374587   14/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:57:27 UTC Syncing #13374567 0x8973…4cbf     0.10 blk/s    6.4 tx/s    0.4 Mgas/s      0+   20 Qed Ancient:#12907577 LI:#13374587   14/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:57:31 UTC Syncing #13374567 0x8973…4cbf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12907577 LI:#13374588   14/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:57:36 UTC Syncing #13374567 0x8973…4cbf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12907577 LI:#13374589   13/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:57:45 UTC Syncing #13374569 0xf257…55bf     0.40 blk/s   74.2 tx/s    6.4 Mgas/s      0+   21 Qed Ancient:#12907579 LI:#13374590   14/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:57:50 UTC Syncing #13374569 0xf257…55bf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12907579 LI:#13374590   14/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:57:51 UTC Syncing #13374569 0xf257…55bf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12907579 LI:#13374590   14/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
