2021-10-07 22:51:31 UTC Syncing #13374542 0xd184…bcb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12907438 LI:#13374560   10/25 peers     92 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:51:36 UTC Syncing #13374542 0xd184…bcb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12907438 LI:#13374560    8/25 peers     92 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:51:42 UTC Syncing #13374542 0xd184…bcb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12907438 LI:#13374560   12/25 peers    840 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:51:46 UTC Syncing #13374542 0xd184…bcb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12907438 LI:#13374561   12/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:51:52 UTC Syncing #13374542 0xd184…bcb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12907438 LI:#13374561   13/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:51:56 UTC Syncing #13374543 0xdafd…f97c     0.20 blk/s   65.6 tx/s    6.0 Mgas/s      0+   17 Qed Ancient:#12907439 LI:#13374561   13/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:52:01 UTC Syncing #13374543 0xdafd…f97c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12907439 LI:#13374562   15/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:52:08 UTC Syncing #13374544 0x9d50…458d     0.20 blk/s   27.2 tx/s    2.0 Mgas/s      0+   17 Qed Ancient:#12907440 LI:#13374562   15/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:52:11 UTC Syncing #13374544 0x9d50…458d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12907440 LI:#13374564   14/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:52:17 UTC Syncing #13374544 0x9d50…458d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12907440 LI:#13374565   13/25 peers      1 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
