2021-10-06 04:25:21 UTC Imported #13363287 0x6bf1…1298 (46 txs, 3.66 Mgas, 1583 ms, 24.81 KiB)
2021-10-06 04:26:16 UTC Syncing #13363287 0x6bf1…1298     0.01 blk/s    0.6 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12387542 LI:#13363295    3/25 peers    0 bytes chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:26:23 UTC Syncing #13363287 0x6bf1…1298     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12387546 LI:#13363296    2/25 peers    142 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:26:42 UTC Syncing #13363287 0x6bf1…1298     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12387550 LI:#13363297    2/25 peers    284 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:26:42 UTC Syncing #13363287 0x6bf1…1298     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12387550 LI:#13363297    2/25 peers    355 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:26:48 UTC Syncing #13363287 0x6bf1…1298     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12387550 LI:#13363297    2/25 peers    355 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:26:53 UTC Syncing #13363287 0x6bf1…1298     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12387550 LI:#13363301    3/25 peers    355 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:26:58 UTC Syncing #13363287 0x6bf1…1298     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12387550 LI:#13363302    3/25 peers    355 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:27:05 UTC Syncing #13363288 0x3054…00b3     0.20 blk/s   56.2 tx/s    4.9 Mgas/s      0+   15 Qed Ancient:#12387551 LI:#13363302    2/25 peers    355 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:27:08 UTC Syncing #13363288 0x3054…00b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12387551 LI:#13363304    2/25 peers    355 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:27:14 UTC Syncing #13363288 0x3054…00b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12387551 LI:#13363304    2/25 peers    355 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:27:18 UTC Syncing #13363288 0x3054…00b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12387551 LI:#13363304    2/25 peers    355 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:27:26 UTC Syncing #13363288 0x3054…00b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12387551 LI:#13363304    2/25 peers    356 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:27:28 UTC Syncing #13363288 0x3054…00b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12387551 LI:#13363305    2/25 peers    356 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:27:33 UTC Syncing #13363288 0x3054…00b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12387551 LI:#13363305    2/25 peers    356 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:27:39 UTC Syncing #13363288 0x3054…00b3     0.20 blk/s   71.2 tx/s    5.3 Mgas/s      0+   17 Qed Ancient:#12387552 LI:#13363306    2/25 peers    356 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:27:43 UTC Syncing #13363288 0x3054…00b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12387552 LI:#13363306    2/25 peers    356 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:27:48 UTC Syncing #13363288 0x3054…00b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12387552 LI:#13363306    2/25 peers    862 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:27:51 UTC Reorg to #13363289 0x882f…9714 (0x3054…00b3 #13363287 0x6bf1…1298 0xaab0…ba64)
2021-10-06 04:27:56 UTC Syncing #13363289 0x882f…9714     0.20 blk/s   20.6 tx/s    1.8 Mgas/s      0+   16 Qed Ancient:#12387553 LI:#13363306    2/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:27:58 UTC Syncing #13363289 0x882f…9714     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12387553 LI:#13363306    2/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:28:03 UTC Syncing #13363290 0xb5c6…1659     0.20 blk/s    3.0 tx/s    0.7 Mgas/s      0+   15 Qed Ancient:#12387554 LI:#13363306    2/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:28:08 UTC Syncing #13363290 0xb5c6…1659     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12387554 LI:#13363307    2/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:28:13 UTC Syncing #13363291 0xfa40…acb3     0.20 blk/s   28.6 tx/s    2.8 Mgas/s      0+   15 Qed Ancient:#12387555 LI:#13363307    2/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:28:19 UTC Syncing #13363291 0xfa40…acb3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12387555 LI:#13363307    2/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
