2021-10-06 04:05:33 UTC Syncing #13363193 0x6b04…0bb9     0.20 blk/s   36.0 tx/s    2.2 Mgas/s      0+   14 Qed Ancient:#12384464 LI:#13363207   25/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:05:38 UTC Syncing #13363193 0x6b04…0bb9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12384464 LI:#13363207   25/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:05:48 UTC Syncing #13363193 0x6b04…0bb9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12384464 LI:#13363208   25/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:05:51 UTC Syncing #13363193 0x6b04…0bb9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12384464 LI:#13363208   23/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:05:54 UTC Syncing #13363193 0x6b04…0bb9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12384464 LI:#13363209   23/25 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:05:58 UTC Syncing #13363193 0x6b04…0bb9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12384464 LI:#13363209   24/25 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:06:04 UTC Syncing #13363193 0x6b04…0bb9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12384464 LI:#13363209   25/25 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:06:08 UTC Syncing #13363193 0x6b04…0bb9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12384464 LI:#13363209   25/25 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:06:16 UTC Syncing #13363193 0x6b04…0bb9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12384464 LI:#13363209   25/25 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:06:19 UTC Syncing #13363193 0x6b04…0bb9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12384464 LI:#13363209   25/25 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:06:23 UTC Syncing #13363194 0x0c6d…854a     0.20 blk/s   43.0 tx/s    4.3 Mgas/s      0+   15 Qed Ancient:#12384466 LI:#13363209   25/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:06:28 UTC Syncing #13363194 0x0c6d…854a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12384466 LI:#13363210   26/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:06:33 UTC Syncing #13363194 0x0c6d…854a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12384466 LI:#13363210   25/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:06:38 UTC Syncing #13363194 0x0c6d…854a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12384466 LI:#13363210   25/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:06:44 UTC Syncing #13363194 0x0c6d…854a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12384466 LI:#13363211   24/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:06:49 UTC Syncing #13363194 0x0c6d…854a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12384466 LI:#13363211   24/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:06:55 UTC Syncing #13363195 0xbe39…0d93     0.20 blk/s   15.2 tx/s    1.7 Mgas/s      0+   16 Qed Ancient:#12384467 LI:#13363211   24/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:06:59 UTC Syncing #13363195 0xbe39…0d93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12384467 LI:#13363211   24/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:07:03 UTC Syncing #13363195 0xbe39…0d93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12384467 LI:#13363212   24/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:07:08 UTC Syncing #13363195 0xbe39…0d93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12384467 LI:#13363212   24/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:07:15 UTC Syncing #13363195 0xbe39…0d93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12384467 LI:#13363212   24/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:07:18 UTC Syncing #13363195 0xbe39…0d93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12384467 LI:#13363213   23/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:07:27 UTC Syncing #13363195 0xbe39…0d93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12384467 LI:#13363215   23/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:07:33 UTC Syncing #13363195 0xbe39…0d93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12384467 LI:#13363215   25/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:07:38 UTC Syncing #13363195 0xbe39…0d93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12384467 LI:#13363215   25/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:07:43 UTC Syncing #13363195 0xbe39…0d93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12384467 LI:#13363215   25/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:07:48 UTC Syncing #13363195 0xbe39…0d93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12384467 LI:#13363215   25/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:07:53 UTC Syncing #13363195 0xbe39…0d93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12384467 LI:#13363215   25/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
