2021-10-06 06:11:31 UTC Syncing #13363755 0x05f2…42c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12416110 LI:#13363779   16/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:11:36 UTC Syncing #13363755 0x05f2…42c2     0.20 blk/s  199.2 tx/s    6.0 Mgas/s      0+   25 Qed Ancient:#12416111 LI:#13363780   18/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:11:41 UTC Syncing #13363755 0x05f2…42c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12416111 LI:#13363781   18/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:11:46 UTC Syncing #13363755 0x05f2…42c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12416111 LI:#13363781   21/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:11:55 UTC Syncing #13363755 0x05f2…42c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12416111 LI:#13363782   25/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:11:57 UTC Syncing #13363755 0x05f2…42c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12416111 LI:#13363782   25/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:12:01 UTC Syncing #13363755 0x05f2…42c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12416111 LI:#13363782   26/50 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:12:06 UTC Syncing #13363755 0x05f2…42c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12416111 LI:#13363782   26/50 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:12:11 UTC Syncing #13363755 0x05f2…42c2     0.20 blk/s  179.8 tx/s    6.0 Mgas/s      0+   26 Qed Ancient:#12416112 LI:#13363782   26/50 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:12:16 UTC Syncing #13363755 0x05f2…42c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12416112 LI:#13363782   26/50 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:12:20 UTC Reorg to #13363756 0x9570…23e1 (0x05f2…42c2 #13363754 0x6eac…e975 0x812c…4536)
2021-10-06 06:12:31 UTC Syncing #13363756 0x9570…23e1     0.07 blk/s   20.6 tx/s    2.1 Mgas/s      0+   28 Qed Ancient:#12416113 LI:#13363784   23/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:12:40 UTC Syncing #13363757 0x7ceb…97c1     0.11 blk/s   35.4 tx/s    3.3 Mgas/s      0+   28 Qed Ancient:#12416114 LI:#13363784   23/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:12:56 UTC Syncing #13363757 0x7ceb…97c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12416123 LI:#13363784   25/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:12:56 UTC Syncing #13363757 0x7ceb…97c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12416123 LI:#13363784   25/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:13:04 UTC Syncing #13363758 0x8102…dcff     0.19 blk/s   40.9 tx/s    4.7 Mgas/s      0+   26 Qed Ancient:#12416124 LI:#13363784   25/25 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:13:19 UTC Syncing #13363759 0xa3fe…ccca     0.10 blk/s   48.5 tx/s    3.0 Mgas/s      0+   26 Qed Ancient:#12416125 LI:#13363785   25/25 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:13:19 UTC Syncing #13363758 0x8102…dcff     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12416124 LI:#13363785   25/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:13:19 UTC Syncing #13363759 0xa3fe…ccca     0.14 blk/s   65.9 tx/s    4.1 Mgas/s      0+   26 Qed Ancient:#12416125 LI:#13363785   25/25 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:13:21 UTC Syncing #13363759 0xa3fe…ccca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12416125 LI:#13363785   25/25 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:13:38 UTC Syncing #13363760 0x48f1…df8b     0.09 blk/s   28.0 tx/s    2.4 Mgas/s      0+   28 Qed Ancient:#12416126 LI:#13363786   21/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:13:38 UTC Syncing #13363760 0x48f1…df8b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12416181 LI:#13363786   21/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
