2021-10-08 01:33:18 UTC Syncing #13375293 0x618f…5c72     0.10 blk/s   43.5 tx/s    3.0 Mgas/s      0+   26 Qed Ancient:#12939945 LI:#13375319    6/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:33:18 UTC Syncing #13375293 0x618f…5c72     0.20 blk/s   87.0 tx/s    6.0 Mgas/s      0+   26 Qed Ancient:#12939945 LI:#13375319    6/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:33:18 UTC Syncing #13375293 0x618f…5c72     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12939945 LI:#13375319    5/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:33:23 UTC Syncing #13375293 0x618f…5c72     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12939945 LI:#13375319    8/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:33:32 UTC Syncing #13375293 0x618f…5c72     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12939945 LI:#13375319    9/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:33:33 UTC Syncing #13375293 0x618f…5c72     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12939945 LI:#13375320   10/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:33:38 UTC Syncing #13375293 0x618f…5c72     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12939945 LI:#13375320   10/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:33:44 UTC Syncing #13375294 0x64f2…8862     0.20 blk/s   76.2 tx/s    6.0 Mgas/s      0+   26 Qed Ancient:#12939946 LI:#13375320   10/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:33:52 UTC Syncing #13375294 0x64f2…8862     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12939946 LI:#13375320   10/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:33:53 UTC Syncing #13375294 0x64f2…8862     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12939946 LI:#13375320   10/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:34:07 UTC Syncing #13375295 0xf2b3…8115     0.20 blk/s   12.0 tx/s    1.7 Mgas/s      0+   25 Qed Ancient:#12939947 LI:#13375320   10/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:34:07 UTC Syncing #13375295 0xf2b3…8115     0.10 blk/s    6.0 tx/s    0.8 Mgas/s      0+   25 Qed Ancient:#12939947 LI:#13375320   10/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:34:08 UTC Syncing #13375295 0xf2b3…8115     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12939947 LI:#13375320    9/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:34:13 UTC Syncing #13375295 0xf2b3…8115     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12939947 LI:#13375322    8/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:34:19 UTC Syncing #13375295 0xf2b3…8115     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12939947 LI:#13375322    8/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:34:23 UTC Syncing #13375295 0xf2b3…8115     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12939947 LI:#13375322    8/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:34:33 UTC Syncing #13375296 0x444e…88e1     0.10 blk/s   39.6 tx/s    3.0 Mgas/s      0+   26 Qed Ancient:#12939948 LI:#13375322    8/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:34:33 UTC Syncing #13375296 0x444e…88e1     0.20 blk/s   79.2 tx/s    6.0 Mgas/s      0+   26 Qed Ancient:#12939948 LI:#13375322    8/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:34:50 UTC Syncing #13375296 0x444e…88e1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12939948 LI:#13375323    3/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:34:50 UTC Syncing #13375297 0x5454…12eb     0.09 blk/s   10.6 tx/s    0.9 Mgas/s      0+   26 Qed Ancient:#12939949 LI:#13375323    3/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:35:03 UTC Syncing #13375297 0x5454…12eb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12939949 LI:#13375323    3/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:35:03 UTC Syncing #13375297 0x5454…12eb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12939949 LI:#13375323    3/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:35:11 UTC Syncing #13375298 0x499f…70e5     0.18 blk/s   43.8 tx/s    3.7 Mgas/s      0+   25 Qed Ancient:#12939950 LI:#13375323    2/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:35:23 UTC Syncing #13375299 0x6dac…5e84     0.10 blk/s   19.4 tx/s    1.0 Mgas/s      0+   24 Qed Ancient:#12939951 LI:#13375323    2/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:35:23 UTC Syncing #13375298 0x499f…70e5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12939950 LI:#13375323    2/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:35:23 UTC Syncing #13375299 0x6dac…5e84     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12939951 LI:#13375323    2/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:35:30 UTC Syncing #13375300 0x4d79…4118     0.21 blk/s   32.8 tx/s    2.5 Mgas/s      0+   23 Qed Ancient:#12939952 LI:#13375323    2/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:35:42 UTC Syncing #13375300 0x4d79…4118     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12939952 LI:#13375323    2/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:35:42 UTC Syncing #13375300 0x4d79…4118     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12939952 LI:#13375323    2/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:35:43 UTC Syncing #13375300 0x4d79…4118     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12939952 LI:#13375323    2/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:35:52 UTC Syncing #13375301 0x2e10…becd     0.20 blk/s   49.6 tx/s    3.7 Mgas/s      0+   22 Qed Ancient:#12939953 LI:#13375323    2/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:35:53 UTC Syncing #13375301 0x2e10…becd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12939953 LI:#13375323    2/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:35:58 UTC Syncing #13375301 0x2e10…becd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12939953 LI:#13375323    2/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:36:03 UTC Syncing #13375301 0x2e10…becd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12939953 LI:#13375323    2/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:36:14 UTC Syncing #13375303 0x5583…128e     0.20 blk/s   15.9 tx/s    1.3 Mgas/s      0+   27 Qed Ancient:#12939955 LI:#13375330    3/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:36:14 UTC Syncing #13375303 0x5583…128e     0.40 blk/s   31.8 tx/s    2.7 Mgas/s      0+   27 Qed Ancient:#12939955 LI:#13375330    3/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:36:19 UTC Syncing #13375303 0x5583…128e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12939955 LI:#13375330    2/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:36:23 UTC Syncing #13375303 0x5583…128e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12939955 LI:#13375330    2/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:36:29 UTC Syncing #13375303 0x5583…128e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12939955 LI:#13375330    3/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:36:33 UTC Syncing #13375303 0x5583…128e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12939955 LI:#13375331    5/25 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:36:38 UTC Syncing #13375303 0x5583…128e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#12939955 LI:#13375332    7/25 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:36:43 UTC Syncing #13375303 0x5583…128e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12939955 LI:#13375333    9/25 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:36:48 UTC Syncing #13375303 0x5583…128e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12939955 LI:#13375333   12/25 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:37:06 UTC Syncing #13375304 0x9cf8…fd20     0.07 blk/s   25.9 tx/s    2.0 Mgas/s      0+   31 Qed Ancient:#12939956 LI:#13375334   10/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:37:06 UTC Syncing #13375304 0x9cf8…fd20     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12940093 LI:#13375334   10/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
