2021-10-06 07:22:32 UTC Syncing #13364066 0x152d…6b48     0.10 blk/s   16.9 tx/s    1.3 Mgas/s      0+   16 Qed Ancient:#12425870 LI:#13364082   21/25 peers    973 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:22:41 UTC Syncing #13364067 0x2a36…2d07     0.20 blk/s   27.2 tx/s    1.4 Mgas/s      0+   16 Qed Ancient:#12425871 LI:#13364083   21/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:22:48 UTC Syncing #13364068 0xdb7a…fb9a     0.20 blk/s   10.2 tx/s    1.0 Mgas/s      0+   15 Qed Ancient:#12425872 LI:#13364083   20/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:22:48 UTC Syncing #13364068 0xdb7a…fb9a     0.10 blk/s    5.1 tx/s    0.5 Mgas/s      0+   15 Qed Ancient:#12425872 LI:#13364083   20/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:22:52 UTC Syncing #13364068 0xdb7a…fb9a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12425872 LI:#13364084   20/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:23:03 UTC Syncing #13364070 0xa7fb…e66e     0.20 blk/s   27.0 tx/s    2.3 Mgas/s      0+   14 Qed Ancient:#12425874 LI:#13364084   20/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:23:03 UTC Syncing #13364069 0xb194…0dc2     0.20 blk/s   43.8 tx/s    3.3 Mgas/s      0+   15 Qed Ancient:#12425873 LI:#13364084   20/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:23:11 UTC Syncing #13364070 0xa7fb…e66e     0.20 blk/s   10.2 tx/s    1.3 Mgas/s      0+   14 Qed Ancient:#12425874 LI:#13364084   20/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:23:12 UTC Syncing #13364070 0xa7fb…e66e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12425874 LI:#13364084   19/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:23:22 UTC Syncing #13364071 0xaa84…d744     0.20 blk/s   60.6 tx/s    5.7 Mgas/s      0+   14 Qed Ancient:#12425875 LI:#13364085   18/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:23:22 UTC Syncing #13364072 0xad3b…f2f5     0.20 blk/s   35.9 tx/s    3.3 Mgas/s      0+   13 Qed Ancient:#12425876 LI:#13364085   18/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:23:28 UTC Syncing #13364072 0xad3b…f2f5     0.20 blk/s   11.2 tx/s    0.9 Mgas/s      0+   13 Qed Ancient:#12425876 LI:#13364085   13/25 peers      1 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:23:34 UTC Syncing #13364073 0x8031…41d6     0.20 blk/s   15.0 tx/s    1.4 Mgas/s      0+   13 Qed Ancient:#12425877 LI:#13364086   13/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:23:37 UTC Syncing #13364073 0x8031…41d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12425877 LI:#13364087   12/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:23:42 UTC Syncing #13364073 0x8031…41d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12425877 LI:#13364087   11/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:23:47 UTC Syncing #13364074 0x1697…ac86     0.20 blk/s   71.8 tx/s    5.1 Mgas/s      0+   13 Qed Ancient:#12425878 LI:#13364087   11/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:23:52 UTC Syncing #13364074 0x1697…ac86     0.20 blk/s   74.4 tx/s    5.1 Mgas/s      0+   12 Qed Ancient:#12425880 LI:#13364087   11/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
