2021-10-08 06:35:38 UTC Syncing #13376607 0xe8eb…9e5f     0.20 blk/s    4.4 tx/s    2.4 Mgas/s      0+   13 Qed Ancient:#12999286 LI:#13376621    0/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:35:41 UTC Syncing #13376608 0x5a41…a3b1     0.20 blk/s   61.2 tx/s    6.0 Mgas/s      0+   12 Qed Ancient:#12999287 LI:#13376621    0/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:35:46 UTC Syncing #13376611 0x3b52…6207     0.60 blk/s   24.8 tx/s    5.4 Mgas/s      0+    9 Qed Ancient:#12999290 LI:#13376621    0/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:35:51 UTC Syncing #13376611 0x3b52…6207     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12999290 LI:#13376621    0/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:35:56 UTC Syncing #13376612 0x8fc0…5093     0.20 blk/s   28.4 tx/s    3.1 Mgas/s      0+    8 Qed Ancient:#12999292 LI:#13376621    0/25 peers      5 MiB chain  880 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:36:01 UTC Syncing #13376614 0x0de6…9375     0.40 blk/s   32.4 tx/s    2.7 Mgas/s      0+    6 Qed Ancient:#12999295 LI:#13376621    0/25 peers      5 MiB chain  718 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:36:08 UTC Syncing #13376615 0x16d5…eb59     0.20 blk/s   29.8 tx/s    3.3 Mgas/s      0+    5 Qed Ancient:#12999296 LI:#13376621    0/25 peers      5 MiB chain  550 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:36:11 UTC Syncing #13376615 0x16d5…eb59     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12999296 LI:#13376621    0/25 peers      5 MiB chain  550 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:36:31 UTC Imported #13376621 0xf9d9…396b (131 txs, 16.22 Mgas, 5462 ms, 31.58 KiB)
2021-10-08 06:36:33 UTC Updated conversion rate to Ξ1 = US$3577.52 (1331063 wei/gas)
2021-10-08 06:36:41 UTC  Ancient:#12999495 AB:#12999495    0/25 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:37:14 UTC  Ancient:#12999495 AB:#12999495    0/25 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:37:21 UTC Syncing #13376621 0xf9d9…396b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12999495 LI:#13376627    2/25 peers      5 MiB chain  978 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:37:27 UTC Syncing #13376621 0xf9d9…396b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12999495 LI:#13376627    4/25 peers      5 MiB chain  978 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:37:31 UTC Syncing #13376621 0xf9d9…396b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12999495 LI:#13376627    5/25 peers      5 MiB chain  978 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:37:36 UTC Syncing #13376621 0xf9d9…396b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12999495 LI:#13376627    5/25 peers      5 MiB chain  978 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:38:06 UTC Syncing #13376624 0x693d…183c     0.10 blk/s   20.4 tx/s    1.1 Mgas/s      0+    4 Qed Ancient:#12999498 LI:#13376629    2/25 peers      5 MiB chain  994 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:38:11 UTC Syncing #13376624 0x693d…183c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12999498 LI:#13376629    3/25 peers      5 MiB chain  994 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
