2021-10-06 07:07:47 UTC Syncing #13364016 0x2f53…3ce3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12422156 LI:#13364025   23/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:07:52 UTC Syncing #13364016 0x2f53…3ce3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12422156 LI:#13364025   24/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:08:01 UTC Syncing #13364017 0x25a3…adda     0.20 blk/s   43.8 tx/s    4.6 Mgas/s      0+    9 Qed Ancient:#12422157 LI:#13364026   24/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:08:02 UTC Syncing #13364017 0x25a3…adda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12422157 LI:#13364026   23/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:08:08 UTC Syncing #13364019 0x3a4d…26cd     0.40 blk/s   33.6 tx/s    3.1 Mgas/s      0+    7 Qed Ancient:#12422159 LI:#13364026   23/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:08:12 UTC Syncing #13364020 0x0b2f…4edb     0.20 blk/s   34.4 tx/s    2.9 Mgas/s      0+    6 Qed Ancient:#12422160 LI:#13364026   23/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:08:17 UTC Syncing #13364020 0x0b2f…4edb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12422160 LI:#13364026   23/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:08:22 UTC Syncing #13364021 0x785c…2b8c     0.20 blk/s   75.0 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#12422161 LI:#13364027   23/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:08:29 UTC Syncing #13364022 0x02bc…ac1b     0.40 blk/s   73.8 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#12422163 LI:#13364028   24/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:08:32 UTC Syncing #13364023 0x952e…8d54     0.20 blk/s   75.0 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#12422164 LI:#13364028   23/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:08:37 UTC Syncing #13364023 0x952e…8d54     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12422164 LI:#13364028   23/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:09:09 UTC  Ancient:#12422880 AB:#12425502   23/25 peers    145 KiB chain  421 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:09:09 UTC  Ancient:#12422989 AB:#12425502   23/25 peers      4 MiB chain  421 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:09:41 UTC  Ancient:#12422991 AB:#12425579   23/25 peers      4 MiB chain  261 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:10:34 UTC Syncing #13364034 0x198f…60b3     0.06 blk/s    8.7 tx/s    0.8 Mgas/s      0+    6 Qed Ancient:#12423742 LI:#13364039   14/25 peers      9 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:10:46 UTC Syncing #13364034 0x198f…60b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12423743 LI:#13364039   14/25 peers      9 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:10:46 UTC Syncing #13364034 0x198f…60b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12423743 LI:#13364039   14/25 peers     74 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:10:52 UTC Syncing #13364034 0x198f…60b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12423743 LI:#13364040    9/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:10:57 UTC Syncing #13364034 0x198f…60b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12423743 LI:#13364040    8/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:11:02 UTC Syncing #13364035 0xeec4…c8a4     0.20 blk/s   88.0 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#12423744 LI:#13364040    8/25 peers    144 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:11:07 UTC Syncing #13364035 0xeec4…c8a4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12423744 LI:#13364041    8/25 peers    144 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:11:12 UTC Syncing #13364035 0xeec4…c8a4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12423744 LI:#13364041    8/25 peers    144 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:11:17 UTC Syncing #13364035 0xeec4…c8a4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12423744 LI:#13364041    8/25 peers    144 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:11:22 UTC Syncing #13364035 0xeec4…c8a4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12423744 LI:#13364041    8/25 peers    144 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
