2021-10-06 07:27:37 UTC Syncing #13364091 0xb0ca…2bb2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12425898 LI:#13364108   21/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:27:42 UTC Syncing #13364091 0xb0ca…2bb2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12425898 LI:#13364108   19/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:27:47 UTC Syncing #13364092 0x937a…f44f     0.20 blk/s   38.0 tx/s    4.2 Mgas/s      0+   18 Qed Ancient:#12425899 LI:#13364108   20/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:27:52 UTC Syncing #13364092 0x937a…f44f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12425899 LI:#13364108   20/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:27:57 UTC Syncing #13364094 0x72ed…7821     0.60 blk/s   60.6 tx/s    3.7 Mgas/s      0+   15 Qed Ancient:#12425903 LI:#13364108   20/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:28:02 UTC Reorg to #13364095 0xe9e1…5568 (0x72ed…7821 #13364093 0x606b…def9 0xf0c8…66f1)
2021-10-06 07:28:07 UTC Syncing #13364094 0x72ed…7821     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12425903 LI:#13364110   21/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:28:07 UTC Syncing #13364095 0xe9e1…5568     0.20 blk/s   13.4 tx/s    1.6 Mgas/s      0+   16 Qed Ancient:#12425904 LI:#13364110   21/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:28:14 UTC Syncing #13364095 0xe9e1…5568     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12425904 LI:#13364110   21/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:28:17 UTC Syncing #13364095 0xe9e1…5568     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12425904 LI:#13364111   21/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
