2021-10-07 11:00:45 UTC Syncing #13371399 0xecbb…6317     0.20 blk/s   59.8 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#12752333 LI:#13371405   32/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:00:50 UTC Syncing #13371399 0xecbb…6317     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12752333 LI:#13371406   32/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:00:55 UTC Syncing #13371400 0x1709…6205     0.20 blk/s   76.4 tx/s    5.9 Mgas/s      0+    5 Qed Ancient:#12752334 LI:#13371406   32/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:01:00 UTC Syncing #13371401 0x60df…8ed5     0.20 blk/s   56.0 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#12752335 LI:#13371407   32/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:01:05 UTC Syncing #13371402 0xaf23…f122     0.20 blk/s   34.8 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#12752336 LI:#13371407   32/50 peers      3 MiB chain  779 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:01:10 UTC Syncing #13371402 0xaf23…f122     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12752336 LI:#13371407   32/50 peers      3 MiB chain  779 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:01:27 UTC Imported #13371407 0x4a0e…dce9 (233 txs, 14.74 Mgas, 4897 ms, 53.76 KiB)
2021-10-07 11:01:40 UTC  Ancient:#12753118 AB:#12755694   32/50 peers   744 bytes chain  136 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:02:14 UTC  Ancient:#12753121 AB:#12756404   29/50 peers    215 KiB chain  507 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:02:45 UTC Syncing #13371411 0x81f6…54bc     0.03 blk/s    3.6 tx/s    0.3 Mgas/s      0+    4 Qed Ancient:#12753122 LI:#13371416   29/50 peers    215 KiB chain  693 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
