2021-10-05 22:56:33 UTC Syncing #13361790 0x9abc…2f53     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12320179 LI:#13361812   29/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:56:37 UTC Syncing #13361791 0x8ffb…eac6     0.20 blk/s   13.4 tx/s    1.3 Mgas/s      0+   21 Qed Ancient:#12320181 LI:#13361813   29/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:56:42 UTC Syncing #13361791 0x8ffb…eac6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12320181 LI:#13361814   29/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:56:47 UTC Syncing #13361791 0x8ffb…eac6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12320181 LI:#13361814   30/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:56:52 UTC Syncing #13361791 0x8ffb…eac6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12320181 LI:#13361814   30/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:56:57 UTC Syncing #13361791 0x8ffb…eac6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12320181 LI:#13361815   30/50 peers      7 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:57:03 UTC Syncing #13361792 0xacd8…4490     0.20 blk/s   33.8 tx/s    3.1 Mgas/s      0+   23 Qed Ancient:#12320182 LI:#13361816   30/50 peers      7 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:57:07 UTC Syncing #13361793 0x204b…0bd6     0.20 blk/s   13.8 tx/s    1.0 Mgas/s      0+   23 Qed Ancient:#12320183 LI:#13361817   30/50 peers      7 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:57:13 UTC Syncing #13361793 0x204b…0bd6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12320183 LI:#13361817   30/50 peers      7 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:57:17 UTC Syncing #13361793 0x204b…0bd6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12320183 LI:#13361817   30/50 peers      7 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:57:22 UTC Syncing #13361793 0x204b…0bd6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12320183 LI:#13361818   30/50 peers      7 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:57:27 UTC Syncing #13361793 0x204b…0bd6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12320183 LI:#13361819   30/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:57:32 UTC Syncing #13361794 0x92b7…f339     0.20 blk/s   36.4 tx/s    2.7 Mgas/s      0+   24 Qed Ancient:#12320184 LI:#13361819   30/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:57:38 UTC Syncing #13361794 0x92b7…f339     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12320184 LI:#13361820   30/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:57:42 UTC Syncing #13361794 0x92b7…f339     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12320184 LI:#13361820   30/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:57:47 UTC Syncing #13361794 0x92b7…f339     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12320184 LI:#13361821   30/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:57:52 UTC Syncing #13361794 0x92b7…f339     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12320184 LI:#13361821   30/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
