2021-10-05 23:13:03 UTC Syncing #13361881 0x000d…35b3     0.20 blk/s   83.6 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#12323558 LI:#13361887   25/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:13:08 UTC Syncing #13361881 0x000d…35b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12323559 LI:#13361887   25/25 peers      5 MiB chain  903 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:13:13 UTC Syncing #13361881 0x000d…35b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12323559 LI:#13361887   25/25 peers      8 MiB chain  903 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:13:18 UTC Syncing #13361881 0x000d…35b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12323559 LI:#13361889   24/25 peers      8 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:13:23 UTC Syncing #13361881 0x000d…35b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12323559 LI:#13361889   24/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:13:28 UTC Syncing #13361881 0x000d…35b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12323559 LI:#13361889   24/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:13:33 UTC Syncing #13361881 0x000d…35b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12323559 LI:#13361889   26/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:13:38 UTC Syncing #13361881 0x000d…35b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12323559 LI:#13361889   27/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:13:43 UTC Syncing #13361881 0x000d…35b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12323559 LI:#13361890   27/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:13:48 UTC Syncing #13361881 0x000d…35b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12323559 LI:#13361890   27/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
