2021-10-05 23:16:38 UTC Syncing #13361889 0x997b…e4fe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12323568 LI:#13361901   29/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:16:43 UTC Syncing #13361889 0x997b…e4fe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12323568 LI:#13361902   29/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:16:48 UTC Syncing #13361890 0xd366…4b81     0.20 blk/s   73.2 tx/s    6.0 Mgas/s      0+   11 Qed Ancient:#12323569 LI:#13361902   29/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:16:53 UTC Syncing #13361890 0xd366…4b81     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12323569 LI:#13361902   29/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:16:58 UTC Syncing #13361891 0xada2…7e60     0.20 blk/s   25.8 tx/s    2.6 Mgas/s      0+   12 Qed Ancient:#12323570 LI:#13361903   29/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:17:03 UTC Syncing #13361891 0xada2…7e60     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12323570 LI:#13361904   29/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:17:08 UTC Syncing #13361892 0xc1ff…4947     0.20 blk/s   24.2 tx/s    1.8 Mgas/s      0+   12 Qed Ancient:#12323571 LI:#13361904   28/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:17:13 UTC Syncing #13361892 0xc1ff…4947     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12323571 LI:#13361904   29/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:17:18 UTC Syncing #13361892 0xc1ff…4947     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12323571 LI:#13361904   29/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:17:23 UTC Syncing #13361892 0xc1ff…4947     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12323571 LI:#13361905   29/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
