2021-10-07 10:55:45 UTC Syncing #13371361 0xc33b…541f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12752291 LI:#13371378   31/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:55:50 UTC Syncing #13371361 0xc33b…541f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12752291 LI:#13371378   31/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:55:55 UTC Syncing #13371361 0xc33b…541f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12752291 LI:#13371378   30/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:56:00 UTC Syncing #13371361 0xc33b…541f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12752291 LI:#13371379   30/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:56:05 UTC Syncing #13371362 0x04be…7473     0.20 blk/s   54.4 tx/s    5.6 Mgas/s      0+   17 Qed Ancient:#12752292 LI:#13371379   30/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:56:10 UTC Syncing #13371363 0x44e6…8941     0.20 blk/s   10.8 tx/s    0.5 Mgas/s      0+   16 Qed Ancient:#12752293 LI:#13371379   30/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:56:15 UTC Syncing #13371363 0x44e6…8941     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12752293 LI:#13371379   31/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:56:20 UTC Syncing #13371363 0x44e6…8941     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12752293 LI:#13371380   32/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:56:25 UTC Syncing #13371364 0xb3b7…e054     0.20 blk/s   54.2 tx/s    3.6 Mgas/s      0+   18 Qed Ancient:#12752294 LI:#13371382   31/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:56:30 UTC Syncing #13371364 0xb3b7…e054     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12752294 LI:#13371383   31/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:56:35 UTC Syncing #13371365 0xf6ad…9bda     0.20 blk/s   45.4 tx/s    2.9 Mgas/s      0+   18 Qed Ancient:#12752295 LI:#13371383   31/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:56:40 UTC Syncing #13371366 0x139b…e3d9     0.20 blk/s   14.2 tx/s    0.9 Mgas/s      0+   17 Qed Ancient:#12752297 LI:#13371383   31/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:56:45 UTC Syncing #13371366 0x139b…e3d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12752297 LI:#13371384   30/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:56:50 UTC Syncing #13371366 0x139b…e3d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12752297 LI:#13371386   30/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:56:55 UTC Syncing #13371366 0x139b…e3d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12752297 LI:#13371387   32/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:57:00 UTC Syncing #13371366 0x139b…e3d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12752297 LI:#13371388   32/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:57:05 UTC Syncing #13371366 0x139b…e3d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12752297 LI:#13371389   30/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:57:10 UTC Syncing #13371366 0x139b…e3d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12752297 LI:#13371389   30/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:57:15 UTC Syncing #13371366 0x139b…e3d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12752297 LI:#13371389   30/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:57:20 UTC Syncing #13371368 0xb57b…5129     0.40 blk/s   76.0 tx/s    5.6 Mgas/s      0+   22 Qed Ancient:#12752299 LI:#13371390   30/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:57:25 UTC Syncing #13371368 0xb57b…5129     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12752299 LI:#13371390   30/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
