2021-10-07 12:21:23 UTC Syncing #13371785 0xef66…47b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12766456 LI:#13371792   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:21:37 UTC Syncing #13371785 0xef66…47b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12766456 LI:#13371792   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:21:37 UTC Syncing #13371785 0xef66…47b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12766456 LI:#13371792   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:21:38 UTC Syncing #13371785 0xef66…47b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12766456 LI:#13371792   27/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:21:48 UTC Syncing #13371786 0xcef5…625d     0.20 blk/s   75.8 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#12766458 LI:#13371792   29/50 peers      5 MiB chain  836 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:21:48 UTC Syncing #13371786 0xcef5…625d     0.10 blk/s   37.9 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#12766458 LI:#13371792   29/50 peers      5 MiB chain  836 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:21:53 UTC Syncing #13371786 0xcef5…625d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12766458 LI:#13371792   29/50 peers      5 MiB chain  836 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:22:04 UTC Syncing #13371787 0x262a…60a1     0.20 blk/s   67.4 tx/s    4.8 Mgas/s      0+    5 Qed Ancient:#12766459 LI:#13371794   30/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:22:04 UTC Syncing #13371788 0xe2eb…a7f8     0.20 blk/s   47.0 tx/s    3.5 Mgas/s      0+    4 Qed Ancient:#12766460 LI:#13371794   30/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:22:13 UTC Syncing #13371789 0x1723…571f     0.20 blk/s   13.2 tx/s    0.8 Mgas/s      0+    4 Qed Ancient:#12766461 LI:#13371794   29/50 peers      5 MiB chain  856 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:22:13 UTC Syncing #13371789 0x1723…571f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12766461 LI:#13371795   29/50 peers      5 MiB chain  947 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:22:19 UTC Syncing #13371789 0x1723…571f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12766461 LI:#13371796   29/50 peers      5 MiB chain  947 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:22:26 UTC Syncing #13371790 0xf44f…fb31     0.20 blk/s   76.2 tx/s    5.5 Mgas/s      0+    6 Qed Ancient:#12766462 LI:#13371797   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:22:32 UTC Syncing #13371791 0xb6ef…c559     0.20 blk/s   15.2 tx/s    0.8 Mgas/s      0+    6 Qed Ancient:#12766463 LI:#13371798   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:22:37 UTC Syncing #13371792 0xdbf1…bf99     0.20 blk/s   21.0 tx/s    1.6 Mgas/s      0+    5 Qed Ancient:#12766464 LI:#13371798   28/50 peers      5 MiB chain  768 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:22:38 UTC Syncing #13371792 0xdbf1…bf99     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12766464 LI:#13371798   28/50 peers      5 MiB chain  768 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:22:43 UTC Syncing #13371792 0xdbf1…bf99     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12766464 LI:#13371798   28/50 peers      5 MiB chain  768 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:22:48 UTC Syncing #13371792 0xdbf1…bf99     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12766464 LI:#13371799   25/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:22:53 UTC Syncing #13371792 0xdbf1…bf99     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12766464 LI:#13371799   26/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:22:59 UTC Syncing #13371793 0x959f…991c     0.20 blk/s   86.2 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#12766465 LI:#13371799   25/25 peers      5 MiB chain  951 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:23:03 UTC Syncing #13371793 0x959f…991c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12766465 LI:#13371800   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:23:08 UTC Syncing #13371793 0x959f…991c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12766465 LI:#13371800   27/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:23:14 UTC Syncing #13371794 0x3847…07bf     0.20 blk/s   35.2 tx/s    2.8 Mgas/s      0+    5 Qed Ancient:#12766466 LI:#13371800   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:23:21 UTC Syncing #13371795 0xb353…4fe0     0.20 blk/s   16.4 tx/s    0.9 Mgas/s      0+    5 Qed Ancient:#12766466 LI:#13371800   27/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:23:23 UTC Syncing #13371795 0xb353…4fe0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12766467 LI:#13371801   26/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:23:35 UTC Syncing #13371796 0x8d32…445e     0.20 blk/s   17.0 tx/s    1.5 Mgas/s      0+    4 Qed Ancient:#12766468 LI:#13371801   26/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:23:35 UTC Syncing #13371796 0x8d32…445e     0.10 blk/s    8.5 tx/s    0.7 Mgas/s      0+    4 Qed Ancient:#12766468 LI:#13371802   26/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:23:38 UTC Syncing #13371796 0x8d32…445e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12766468 LI:#13371802   26/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:23:51 UTC Syncing #13371797 0x87c3…0849     0.20 blk/s   32.6 tx/s    3.5 Mgas/s      0+    5 Qed Ancient:#12766469 LI:#13371803   26/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:23:51 UTC Syncing #13371798 0x995a…6ff2     0.20 blk/s   29.9 tx/s    2.6 Mgas/s      0+    4 Qed Ancient:#12766470 LI:#13371803   26/50 peers      5 MiB chain  729 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:23:57 UTC Syncing #13371798 0x995a…6ff2     0.20 blk/s   27.2 tx/s    1.8 Mgas/s      0+    4 Qed Ancient:#12766470 LI:#13371803   26/50 peers      5 MiB chain  729 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:23:58 UTC Syncing #13371798 0x995a…6ff2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12766470 LI:#13371803   26/50 peers      5 MiB chain  729 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:24:03 UTC Syncing #13371798 0x995a…6ff2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12766470 LI:#13371803   24/25 peers      5 MiB chain  729 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:24:08 UTC Syncing #13371798 0x995a…6ff2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12766470 LI:#13371804   24/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:24:22 UTC Syncing #13371799 0x9d49…1c8c     0.20 blk/s   59.8 tx/s    4.3 Mgas/s      0+    4 Qed Ancient:#12766472 LI:#13371804   24/25 peers      5 MiB chain  936 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:24:22 UTC Syncing #13371799 0x9d49…1c8c     0.10 blk/s   29.9 tx/s    2.2 Mgas/s      0+    4 Qed Ancient:#12766472 LI:#13371804   24/25 peers      5 MiB chain  936 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:24:23 UTC Syncing #13371799 0x9d49…1c8c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12766472 LI:#13371805   24/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:24:28 UTC Syncing #13371800 0xfdd4…fe4d     0.20 blk/s   26.6 tx/s    1.7 Mgas/s      0+    5 Qed Ancient:#12766474 LI:#13371806   24/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:24:33 UTC Syncing #13371800 0xfdd4…fe4d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12766474 LI:#13371807   24/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:24:40 UTC Syncing #13371801 0x66b9…6597     0.20 blk/s   58.4 tx/s    3.9 Mgas/s      0+    5 Qed Ancient:#12766475 LI:#13371807   25/25 peers      4 MiB chain  933 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:24:43 UTC Syncing #13371801 0x66b9…6597     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12766475 LI:#13371807   25/25 peers      4 MiB chain  933 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:24:48 UTC Syncing #13371801 0x66b9…6597     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12766475 LI:#13371809   24/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:24:59 UTC Syncing #13371803 0x1f3e…0439     0.20 blk/s   25.1 tx/s    1.9 Mgas/s      0+    5 Qed Ancient:#12766477 LI:#13371809   24/25 peers      4 MiB chain  929 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:24:59 UTC Syncing #13371803 0x1f3e…0439     0.40 blk/s   50.2 tx/s    3.9 Mgas/s      0+    5 Qed Ancient:#12766477 LI:#13371809   24/25 peers      4 MiB chain  929 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:25:07 UTC Syncing #13371803 0x1f3e…0439     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12766477 LI:#13371809   24/25 peers      4 MiB chain  929 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:25:08 UTC Syncing #13371803 0x1f3e…0439     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12766477 LI:#13371811   24/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
