2021-10-07 12:16:13 UTC Syncing #13371762 0x0d64…63fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12766432 LI:#13371773   32/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:16:18 UTC Syncing #13371762 0x0d64…63fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12766432 LI:#13371774   32/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:16:26 UTC Syncing #13371763 0x0954…e24d     0.20 blk/s   90.0 tx/s    5.9 Mgas/s      0+   10 Qed Ancient:#12766433 LI:#13371774   32/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:16:28 UTC Syncing #13371763 0x0954…e24d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12766433 LI:#13371774   31/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:16:38 UTC Syncing #13371763 0x0954…e24d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12766433 LI:#13371774   32/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:16:38 UTC Syncing #13371763 0x0954…e24d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12766433 LI:#13371774   31/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:16:43 UTC Syncing #13371763 0x0954…e24d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12766433 LI:#13371774   30/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:16:51 UTC Syncing #13371764 0x608c…d509     0.20 blk/s   69.6 tx/s    4.7 Mgas/s      0+    9 Qed Ancient:#12766434 LI:#13371774   30/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:16:57 UTC Syncing #13371764 0x608c…d509     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12766434 LI:#13371775   30/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:16:58 UTC Syncing #13371765 0xb797…6df6     0.20 blk/s   56.6 tx/s    4.1 Mgas/s      0+    9 Qed Ancient:#12766435 LI:#13371775   30/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
