2021-10-05 23:33:14 UTC Syncing #13361958 0xa7a7…d069     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12327492 LI:#13361995   14/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:33:14 UTC Syncing #13361958 0xa7a7…d069     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12327492 LI:#13361995   14/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:33:25 UTC Syncing #13361958 0xa7a7…d069     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12327492 LI:#13361996   12/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:33:25 UTC Syncing #13361958 0xa7a7…d069     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12327492 LI:#13361996   12/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:33:28 UTC Syncing #13361958 0xa7a7…d069     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   40 Qed Ancient:#12327492 LI:#13361998   12/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:33:33 UTC Syncing #13361958 0xa7a7…d069     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   40 Qed Ancient:#12327492 LI:#13361998   12/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:33:46 UTC Syncing #13361959 0x1586…5267     0.20 blk/s   26.8 tx/s    3.0 Mgas/s      0+   39 Qed Ancient:#12327493 LI:#13361998   12/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:33:46 UTC Syncing #13361960 0x68d5…d9d4     0.20 blk/s   17.1 tx/s    1.9 Mgas/s      0+   38 Qed Ancient:#12327494 LI:#13361999   12/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:33:52 UTC Syncing #13361960 0x68d5…d9d4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#12327494 LI:#13361999   12/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:33:53 UTC Syncing #13361960 0x68d5…d9d4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#12327494 LI:#13361999   12/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:33:59 UTC Syncing #13361960 0x68d5…d9d4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#12327494 LI:#13361999   12/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:34:05 UTC Syncing #13361960 0x68d5…d9d4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#12327494 LI:#13361999   12/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:34:13 UTC Syncing #13361961 0xecb6…7147     0.20 blk/s   52.0 tx/s    4.9 Mgas/s      0+   39 Qed Ancient:#12327495 LI:#13362000   13/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:34:18 UTC Syncing #13361962 0x2b55…7e66     0.20 blk/s    6.0 tx/s    0.5 Mgas/s      0+   38 Qed Ancient:#12327496 LI:#13362000   13/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:34:18 UTC Syncing #13361962 0x2b55…7e66     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12327496 LI:#13362000   13/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:34:23 UTC Syncing #13361962 0x2b55…7e66     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12327496 LI:#13362000   26/50 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:34:29 UTC Syncing #13361962 0x2b55…7e66     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#12327496 LI:#13362001   27/50 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
