2021-10-05 23:52:02 UTC Syncing #13362064 0x186d…7e80     0.20 blk/s   97.8 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#12330838 LI:#13362071   22/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:52:04 UTC Syncing #13362064 0x186d…7e80     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330838 LI:#13362072   21/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:52:09 UTC Syncing #13362064 0x186d…7e80     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330838 LI:#13362072   22/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:52:14 UTC Syncing #13362064 0x186d…7e80     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330838 LI:#13362072   22/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:52:19 UTC Syncing #13362064 0x186d…7e80     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330838 LI:#13362072   22/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:52:26 UTC Syncing #13362064 0x186d…7e80     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330838 LI:#13362072   22/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:52:40 UTC Syncing #13362065 0xe5b6…3a78     0.07 blk/s   25.7 tx/s    2.0 Mgas/s      0+    7 Qed Ancient:#12330839 LI:#13362072   22/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:52:40 UTC Syncing #13362065 0xe5b6…3a78     0.20 blk/s   77.2 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#12330839 LI:#13362072   22/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:52:40 UTC Syncing #13362065 0xe5b6…3a78     0.10 blk/s   38.6 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#12330839 LI:#13362072   22/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:52:44 UTC Syncing #13362065 0xe5b6…3a78     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330839 LI:#13362073   17/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:52:49 UTC Syncing #13362065 0xe5b6…3a78     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330839 LI:#13362073   18/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:52:56 UTC Syncing #13362066 0x050b…58a1     0.20 blk/s   52.6 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#12330840 LI:#13362074   19/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:53:09 UTC Syncing #13362066 0x050b…58a1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330840 LI:#13362074   19/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:53:09 UTC Syncing #13362066 0x050b…58a1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330840 LI:#13362074   19/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:53:09 UTC Syncing #13362066 0x050b…58a1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330840 LI:#13362074   19/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:53:15 UTC Syncing #13362066 0x050b…58a1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12330840 LI:#13362075   18/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:53:23 UTC Syncing #13362067 0x7349…14d0     0.20 blk/s   72.4 tx/s    5.4 Mgas/s      0+    8 Qed Ancient:#12330841 LI:#13362075   18/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:53:28 UTC Syncing #13362068 0xb8b9…c331     0.20 blk/s   27.0 tx/s    1.8 Mgas/s      0+    7 Qed Ancient:#12330842 LI:#13362075   16/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:53:29 UTC Syncing #13362069 0x35f6…81f5     0.20 blk/s   16.2 tx/s    1.0 Mgas/s      0+    7 Qed Ancient:#12330843 LI:#13362076   16/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:53:34 UTC Syncing #13362069 0x35f6…81f5     0.20 blk/s   28.0 tx/s    1.9 Mgas/s      0+    6 Qed Ancient:#12330844 LI:#13362076   16/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:53:39 UTC Syncing #13362069 0x35f6…81f5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12330844 LI:#13362077   16/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:53:44 UTC Syncing #13362069 0x35f6…81f5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12330844 LI:#13362077   10/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:53:48 UTC Reorg to #13362070 0xbfb5…46ba (0x35f6…81f5 #13362068 0xb8b9…c331 0x837b…8c5a)
2021-10-05 23:53:54 UTC Syncing #13362070 0xbfb5…46ba     0.20 blk/s   52.2 tx/s    3.1 Mgas/s      0+    8 Qed Ancient:#12330845 LI:#13362079   10/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
