2021-10-06 05:51:36 UTC Syncing #13363670 0x21ef…411b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12415123 LI:#13363685   16/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:51:39 UTC Syncing #13363670 0x21ef…411b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12415123 LI:#13363687   16/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:51:45 UTC Syncing #13363670 0x21ef…411b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12415123 LI:#13363688   16/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:51:49 UTC Syncing #13363670 0x21ef…411b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12415123 LI:#13363688   18/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:51:54 UTC Syncing #13363670 0x21ef…411b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12415123 LI:#13363688   19/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:51:59 UTC Syncing #13363671 0x61ca…f9bb     0.20 blk/s   98.2 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#12415124 LI:#13363688   20/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:52:13 UTC Syncing #13363672 0xa194…8f71     0.08 blk/s   21.1 tx/s    1.6 Mgas/s      0+   21 Qed Ancient:#12415124 LI:#13363691   21/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:52:20 UTC Syncing #13363673 0x6438…887a     0.35 blk/s   19.2 tx/s    1.7 Mgas/s      0+   20 Qed Ancient:#12415125 LI:#13363691   22/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:52:32 UTC Syncing #13363673 0x6438…887a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12415226 LI:#13363691   22/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:52:39 UTC Syncing #13363673 0x6438…887a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12415226 LI:#13363691   16/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:52:39 UTC Syncing #13363673 0x6438…887a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12415226 LI:#13363691   16/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:52:45 UTC Syncing #13363673 0x6438…887a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12415226 LI:#13363691   16/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:52:53 UTC Syncing #13363674 0xd9ee…f267     0.20 blk/s   76.8 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#12415227 LI:#13363691   16/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:53:03 UTC Syncing #13363674 0xd9ee…f267     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12415227 LI:#13363691   16/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:53:03 UTC Syncing #13363674 0xd9ee…f267     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12415227 LI:#13363691   16/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:53:05 UTC Syncing #13363674 0xd9ee…f267     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12415227 LI:#13363692   16/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:53:10 UTC Syncing #13363675 0xe9d3…36a1     0.20 blk/s   66.3 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#12415228 LI:#13363692   15/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:53:15 UTC Syncing #13363675 0xe9d3…36a1     0.40 blk/s  124.8 tx/s   11.9 Mgas/s      0+   17 Qed Ancient:#12415230 LI:#13363693   12/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:53:23 UTC Syncing #13363676 0x90a6…a8db     0.20 blk/s   10.0 tx/s    1.3 Mgas/s      0+   18 Qed Ancient:#12415231 LI:#13363694   12/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:53:31 UTC Syncing #13363677 0x84d7…f3e0     0.10 blk/s    7.1 tx/s    0.4 Mgas/s      0+   17 Qed Ancient:#12415232 LI:#13363694   10/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:53:31 UTC Syncing #13363677 0x84d7…f3e0     0.20 blk/s   14.2 tx/s    0.9 Mgas/s      0+   17 Qed Ancient:#12415232 LI:#13363694   10/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:53:34 UTC Syncing #13363677 0x84d7…f3e0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12415232 LI:#13363695    6/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:53:44 UTC Syncing #13363677 0x84d7…f3e0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12415232 LI:#13363695    6/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:53:44 UTC Syncing #13363677 0x84d7…f3e0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12415232 LI:#13363695    6/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:53:52 UTC Syncing #13363678 0xb3d1…3ddb     0.20 blk/s   81.0 tx/s    5.6 Mgas/s      0+   17 Qed Ancient:#12415233 LI:#13363695    6/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:53:59 UTC Syncing #13363679 0xff9c…0ae4     0.20 blk/s   26.8 tx/s    1.4 Mgas/s      0+   17 Qed Ancient:#12415234 LI:#13363696    6/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:53:59 UTC Syncing #13363679 0xff9c…0ae4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12415234 LI:#13363696    6/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:54:04 UTC Syncing #13363679 0xff9c…0ae4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12415234 LI:#13363696    6/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:54:09 UTC Syncing #13363679 0xff9c…0ae4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12415234 LI:#13363696    6/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:54:18 UTC Syncing #13363680 0x94ae…1ac9     0.20 blk/s   84.4 tx/s    6.0 Mgas/s      0+   16 Qed Ancient:#12415235 LI:#13363696    9/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:54:19 UTC Syncing #13363680 0x94ae…1ac9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12415235 LI:#13363696    9/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:54:24 UTC Syncing #13363680 0x94ae…1ac9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12415235 LI:#13363696   10/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:54:31 UTC Syncing #13363681 0x3802…f984     0.20 blk/s   37.2 tx/s    3.0 Mgas/s      0+   15 Qed Ancient:#12415236 LI:#13363696   10/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:54:35 UTC Syncing #13363681 0x3802…f984     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12415236 LI:#13363697   10/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:54:39 UTC Syncing #13363681 0x3802…f984     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12415236 LI:#13363697   10/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:54:44 UTC Syncing #13363681 0x3802…f984     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12415236 LI:#13363697   10/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:54:49 UTC Syncing #13363682 0x0f1f…d5b0     0.20 blk/s   64.2 tx/s    4.8 Mgas/s      0+   15 Qed Ancient:#12415238 LI:#13363697   10/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:55:00 UTC Syncing #13363684 0xcfd9…300a     0.20 blk/s   17.0 tx/s    1.3 Mgas/s      0+   14 Qed Ancient:#12415241 LI:#13363698   10/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:55:00 UTC Syncing #13363683 0x3ac3…c3c2     0.20 blk/s   22.2 tx/s    1.7 Mgas/s      0+   15 Qed Ancient:#12415240 LI:#13363698   10/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:55:06 UTC Syncing #13363685 0xf2e1…165d     0.20 blk/s   15.8 tx/s    1.7 Mgas/s      0+   13 Qed Ancient:#12415242 LI:#13363698   10/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:55:09 UTC Syncing #13363685 0xf2e1…165d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12415242 LI:#13363698    7/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:55:17 UTC Syncing #13363686 0xafa8…7b53     0.20 blk/s   44.4 tx/s    2.6 Mgas/s      0+   13 Qed Ancient:#12415243 LI:#13363699    7/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
