2021-10-08 02:54:19 UTC Syncing #13375622 0x328c…c7d4     0.07 blk/s   39.1 tx/s    2.0 Mgas/s      0+   25 Qed Ancient:#12957961 LI:#13375647    1/25 peers      1 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:54:20 UTC Syncing #13375622 0x328c…c7d4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12957961 LI:#13375647    1/25 peers      1 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:54:25 UTC Syncing #13375622 0x328c…c7d4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12957961 LI:#13375647    1/25 peers      1 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:54:30 UTC Syncing #13375622 0x328c…c7d4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12957961 LI:#13375647    1/25 peers      1 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:54:48 UTC Syncing #13375623 0x115e…3498     0.20 blk/s   82.0 tx/s    5.0 Mgas/s      0+   24 Qed Ancient:#12957962 LI:#13375647    1/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:54:48 UTC Syncing #13375623 0x115e…3498     0.10 blk/s   41.0 tx/s    2.5 Mgas/s      0+   24 Qed Ancient:#12957962 LI:#13375647    1/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:54:48 UTC Syncing #13375623 0x115e…3498     0.07 blk/s   27.3 tx/s    1.7 Mgas/s      0+   24 Qed Ancient:#12957962 LI:#13375647    1/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:54:50 UTC Syncing #13375623 0x115e…3498     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12957962 LI:#13375647    0/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:54:55 UTC Syncing #13375624 0x2c63…b0d8     0.20 blk/s   42.2 tx/s    2.5 Mgas/s      0+   23 Qed Ancient:#12957963 LI:#13375647    0/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:55:00 UTC Syncing #13375625 0xd293…2808     0.20 blk/s    2.6 tx/s    0.3 Mgas/s      0+   22 Qed Ancient:#12957964 LI:#13375647    0/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:55:05 UTC Syncing #13375625 0xd293…2808     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12957964 LI:#13375647    0/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:55:10 UTC Syncing #13375625 0xd293…2808     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12957964 LI:#13375647    0/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:55:20 UTC Syncing #13375626 0x663f…f694     0.10 blk/s   15.8 tx/s    1.5 Mgas/s      0+   21 Qed Ancient:#12957965 LI:#13375647    0/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:55:20 UTC Syncing #13375626 0x663f…f694     0.20 blk/s   31.5 tx/s    2.9 Mgas/s      0+   21 Qed Ancient:#12957965 LI:#13375647    0/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:55:25 UTC Syncing #13375626 0x663f…f694     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12957965 LI:#13375647    0/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:55:32 UTC Syncing #13375626 0x663f…f694     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12957965 LI:#13375647    1/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:55:35 UTC Syncing #13375627 0x11a1…c86c     0.20 blk/s   68.0 tx/s    3.9 Mgas/s      0+   20 Qed Ancient:#12957966 LI:#13375647    2/25 peers      1 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:55:49 UTC Syncing #13375627 0x11a1…c86c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12957966 LI:#13375647    2/25 peers      1 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:55:49 UTC Syncing #13375627 0x11a1…c86c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12957966 LI:#13375647    2/25 peers      1 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:55:50 UTC Syncing #13375627 0x11a1…c86c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12957966 LI:#13375647    2/25 peers      1 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:55:55 UTC Syncing #13375627 0x11a1…c86c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#12957966 LI:#13375663    3/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:56:00 UTC Syncing #13375627 0x11a1…c86c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12957966 LI:#13375664    6/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:56:05 UTC Syncing #13375627 0x11a1…c86c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12957966 LI:#13375664    7/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:56:18 UTC Syncing #13375629 0x9094…03fd     0.20 blk/s   41.8 tx/s    3.3 Mgas/s      0+   35 Qed Ancient:#12957968 LI:#13375664   10/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:56:18 UTC Syncing #13375628 0x7e58…e8b4     0.20 blk/s   68.8 tx/s    5.3 Mgas/s      0+   36 Qed Ancient:#12957967 LI:#13375664   10/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:56:25 UTC Syncing #13375629 0x9094…03fd     0.10 blk/s    7.4 tx/s    0.7 Mgas/s      0+   36 Qed Ancient:#12957968 LI:#13375665    9/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:56:25 UTC Syncing #13375629 0x9094…03fd     0.20 blk/s   14.8 tx/s    1.4 Mgas/s      0+   36 Qed Ancient:#12957968 LI:#13375665    9/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:56:31 UTC Syncing #13375629 0x9094…03fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#12957968 LI:#13375665    9/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:56:46 UTC Syncing #13375631 0xb3ac…c63d     0.20 blk/s   33.0 tx/s    2.4 Mgas/s      0+   34 Qed Ancient:#12957971 LI:#13375665   14/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:56:46 UTC Syncing #13375631 0xb3ac…c63d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12957971 LI:#13375665   14/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:56:46 UTC Syncing #13375630 0xc87e…fc10     0.20 blk/s   55.0 tx/s    3.9 Mgas/s      0+   35 Qed Ancient:#12957970 LI:#13375665   14/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:56:57 UTC Syncing #13375631 0xb3ac…c63d     0.10 blk/s    5.5 tx/s    0.4 Mgas/s      0+   34 Qed Ancient:#12957971 LI:#13375665   13/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:56:57 UTC Syncing #13375631 0xb3ac…c63d     0.20 blk/s   11.0 tx/s    0.8 Mgas/s      0+   34 Qed Ancient:#12957971 LI:#13375665   13/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:57:00 UTC Syncing #13375631 0xb3ac…c63d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12957971 LI:#13375666   13/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:57:17 UTC Syncing #13375632 0x2a36…e423     0.10 blk/s   57.0 tx/s    3.0 Mgas/s      0+   34 Qed Ancient:#12957972 LI:#13375666   13/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:57:17 UTC Syncing #13375632 0x2a36…e423     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12957972 LI:#13375666   13/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:57:17 UTC Syncing #13375632 0x2a36…e423     0.20 blk/s  114.0 tx/s    6.0 Mgas/s      0+   34 Qed Ancient:#12957972 LI:#13375666   13/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:57:20 UTC Syncing #13375632 0x2a36…e423     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12957972 LI:#13375667    9/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:57:25 UTC Syncing #13375632 0x2a36…e423     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12957972 LI:#13375667    8/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:57:30 UTC Syncing #13375632 0x2a36…e423     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12957972 LI:#13375667   12/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:57:35 UTC Syncing #13375632 0x2a36…e423     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12957972 LI:#13375667   12/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
