2021-10-06 07:59:09 UTC Syncing #13364225 0x74c6…3469     0.20 blk/s   74.4 tx/s    5.9 Mgas/s      0+   18 Qed Ancient:#12433799 LI:#13364244    4/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:59:20 UTC Syncing #13364225 0x74c6…3469     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12433799 LI:#13364244    3/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:59:20 UTC Syncing #13364225 0x74c6…3469     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12433799 LI:#13364244    3/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:59:23 UTC Syncing #13364225 0x74c6…3469     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12433799 LI:#13364244    3/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:59:29 UTC Syncing #13364226 0x724b…ea1c     0.20 blk/s   37.4 tx/s    2.8 Mgas/s      0+   17 Qed Ancient:#12433800 LI:#13364244    3/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:59:38 UTC Syncing #13364227 0x917e…05bd     0.20 blk/s    8.6 tx/s    0.4 Mgas/s      0+   16 Qed Ancient:#12433801 LI:#13364244    3/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:59:38 UTC Syncing #13364227 0x917e…05bd     0.10 blk/s    4.3 tx/s    0.2 Mgas/s      0+   16 Qed Ancient:#12433801 LI:#13364244    3/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:59:50 UTC Syncing #13364228 0x52d9…e06a     0.10 blk/s    8.9 tx/s    0.6 Mgas/s      0+   16 Qed Ancient:#12433802 LI:#13364245    3/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:59:50 UTC Syncing #13364228 0x52d9…e06a     0.20 blk/s   17.8 tx/s    1.1 Mgas/s      0+   16 Qed Ancient:#12433802 LI:#13364245    3/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:59:53 UTC Syncing #13364228 0x52d9…e06a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12433802 LI:#13364245    2/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:59:58 UTC Syncing #13364228 0x52d9…e06a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12433802 LI:#13364245    2/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:00:03 UTC Syncing #13364228 0x52d9…e06a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12433802 LI:#13364245    4/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:00:08 UTC Syncing #13364228 0x52d9…e06a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12433802 LI:#13364247    7/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:00:13 UTC Syncing #13364228 0x52d9…e06a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12433802 LI:#13364247    7/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:00:27 UTC Syncing #13364229 0xd62a…6035     0.20 blk/s   85.2 tx/s    6.0 Mgas/s      0+   17 Qed Ancient:#12433803 LI:#13364247    8/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:00:27 UTC Syncing #13364229 0xd62a…6035     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12433803 LI:#13364247    8/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:00:34 UTC Syncing #13364229 0xd62a…6035     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12433803 LI:#13364247    6/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:00:41 UTC Syncing #13364230 0xc9c4…61de     0.30 blk/s  118.4 tx/s    8.9 Mgas/s      0+   16 Qed Ancient:#12433804 LI:#13364247    6/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:00:49 UTC Syncing #13364230 0xc9c4…61de     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12433804 LI:#13364247    6/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:00:49 UTC Syncing #13364230 0xc9c4…61de     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12433804 LI:#13364247    6/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
