2021-10-08 07:55:35 UTC Syncing #13376937 0x7193…1327     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#13012952 LI:#13376966   10/25 peers    816 KiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:55:40 UTC Syncing #13376937 0x7193…1327     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#13012952 LI:#13376967   13/25 peers    816 KiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:55:45 UTC Syncing #13376937 0x7193…1327     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#13012952 LI:#13376967   13/25 peers    816 KiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:55:58 UTC Syncing #13376938 0x16f6…e7e5     0.20 blk/s   74.4 tx/s    5.7 Mgas/s      0+   29 Qed Ancient:#13012953 LI:#13376967   14/25 peers    816 KiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:55:58 UTC Syncing #13376938 0x16f6…e7e5     0.10 blk/s   37.2 tx/s    2.8 Mgas/s      0+   29 Qed Ancient:#13012953 LI:#13376967   14/25 peers    816 KiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:56:11 UTC Syncing #13376939 0xe3ce…a287     0.10 blk/s    8.1 tx/s    0.6 Mgas/s      0+   28 Qed Ancient:#13012954 LI:#13376967   13/25 peers    816 KiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:56:11 UTC Syncing #13376939 0xe3ce…a287     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#13012954 LI:#13376967   13/25 peers    816 KiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:56:11 UTC Syncing #13376939 0xe3ce…a287     0.20 blk/s   16.2 tx/s    1.3 Mgas/s      0+   28 Qed Ancient:#13012954 LI:#13376967   13/25 peers    816 KiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:56:15 UTC Syncing #13376939 0xe3ce…a287     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#13012954 LI:#13376967    8/25 peers    816 KiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:56:28 UTC Syncing #13376941 0xd1c7…1d02     0.30 blk/s   41.2 tx/s    3.2 Mgas/s      0+   25 Qed Ancient:#13012957 LI:#13376967    5/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:56:28 UTC Syncing #13376940 0x9781…edc4     0.20 blk/s   52.6 tx/s    4.8 Mgas/s      0+   27 Qed Ancient:#13012955 LI:#13376967    5/25 peers    817 KiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:56:37 UTC Syncing #13376941 0xd1c7…1d02     0.20 blk/s   14.9 tx/s    0.8 Mgas/s      0+   25 Qed Ancient:#13012957 LI:#13376967    3/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:56:37 UTC Syncing #13376941 0xd1c7…1d02     0.40 blk/s   29.8 tx/s    1.6 Mgas/s      0+   25 Qed Ancient:#13012957 LI:#13376967    3/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:56:40 UTC Syncing #13376941 0xd1c7…1d02     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#13012957 LI:#13376967    3/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:56:46 UTC Syncing #13376941 0xd1c7…1d02     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#13012957 LI:#13376967    2/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:56:50 UTC Syncing #13376941 0xd1c7…1d02     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#13012957 LI:#13376973    6/25 peers      1 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:57:08 UTC Syncing #13376942 0xcdc3…6a55     0.10 blk/s   50.8 tx/s    3.0 Mgas/s      0+   31 Qed Ancient:#13012959 LI:#13376972    6/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:57:08 UTC Syncing #13376942 0xcdc3…6a55     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#13012959 LI:#13376972    6/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:57:08 UTC Syncing #13376942 0xcdc3…6a55     0.20 blk/s  101.6 tx/s    6.0 Mgas/s      0+   31 Qed Ancient:#13012959 LI:#13376972    6/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:57:10 UTC Syncing #13376942 0xcdc3…6a55     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#13012959 LI:#13376972    6/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:57:15 UTC Syncing #13376942 0xcdc3…6a55     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#13012959 LI:#13376974    6/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:57:26 UTC Syncing #13376943 0x92bd…8551     0.20 blk/s   23.2 tx/s    2.7 Mgas/s      0+   31 Qed Ancient:#13012960 LI:#13376974    8/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:57:26 UTC Syncing #13376945 0xa12d…4fa5     0.30 blk/s   47.0 tx/s    3.7 Mgas/s      0+   29 Qed Ancient:#13012962 LI:#13376974    8/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:57:35 UTC Syncing #13376947 0x2db0…8508     0.20 blk/s   34.0 tx/s    2.4 Mgas/s      0+   27 Qed Ancient:#13012964 LI:#13376974    9/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:57:35 UTC Syncing #13376945 0xa12d…4fa5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#13012962 LI:#13376974    9/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:57:42 UTC Syncing #13376948 0xad4a…f95a     0.60 blk/s  111.8 tx/s    7.3 Mgas/s      0+   27 Qed Ancient:#13012965 LI:#13376975    8/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:57:49 UTC Syncing #13376948 0xad4a…f95a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#13012965 LI:#13376975    7/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:57:57 UTC Syncing #13376949 0x8d2a…487d     0.20 blk/s   90.2 tx/s    6.0 Mgas/s      0+   26 Qed Ancient:#13012966 LI:#13376975    5/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:57:57 UTC Syncing #13376951 0xb033…93f6     0.30 blk/s   75.4 tx/s    5.6 Mgas/s      0+   24 Qed Ancient:#13012968 LI:#13376975    5/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:58:12 UTC Syncing #13376951 0xb033…93f6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#13012968 LI:#13376977    5/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:58:12 UTC Syncing #13376954 0xbf2c…107d     0.20 blk/s   26.8 tx/s    2.1 Mgas/s      0+   23 Qed Ancient:#13012971 LI:#13376977    5/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:58:12 UTC Syncing #13376954 0xbf2c…107d     0.30 blk/s   40.2 tx/s    3.1 Mgas/s      0+   23 Qed Ancient:#13012971 LI:#13376977    5/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:58:20 UTC Syncing #13376955 0x7406…89b2     0.10 blk/s   48.9 tx/s    3.0 Mgas/s      0+   24 Qed Ancient:#13012972 LI:#13376979    5/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:58:20 UTC Syncing #13376954 0xbf2c…107d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#13012971 LI:#13376979    5/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:58:28 UTC Syncing #13376955 0x7406…89b2     0.20 blk/s   97.8 tx/s    6.0 Mgas/s      0+   24 Qed Ancient:#13012972 LI:#13376979    5/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:58:38 UTC Syncing #13376958 0xa891…2072     0.30 blk/s   39.6 tx/s    3.8 Mgas/s      0+   22 Qed Ancient:#13012976 LI:#13376980    5/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:58:38 UTC Syncing #13376956 0x79b2…57d2     0.20 blk/s   58.6 tx/s    6.0 Mgas/s      0+   24 Qed Ancient:#13012973 LI:#13376980    5/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:58:46 UTC Syncing #13376959 0x01a7…8876     0.60 blk/s   89.6 tx/s    5.0 Mgas/s      0+   22 Qed Ancient:#13012977 LI:#13376981    4/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:58:46 UTC Syncing #13376960 0xc05f…bcd0     0.40 blk/s   60.0 tx/s    3.5 Mgas/s      0+   21 Qed Ancient:#13012978 LI:#13376981    4/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:58:52 UTC Syncing #13376962 0x5dc8…dabd     0.40 blk/s   61.6 tx/s    4.2 Mgas/s      0+   20 Qed Ancient:#13012980 LI:#13376982    3/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:59:00 UTC Syncing #13376962 0x5dc8…dabd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#13012980 LI:#13376982    2/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:59:13 UTC Syncing #13376965 0x1073…3771     0.30 blk/s   45.9 tx/s    3.9 Mgas/s      0+   17 Qed Ancient:#13012983 LI:#13376982    2/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:59:13 UTC Syncing #13376965 0x1073…3771     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#13012983 LI:#13376982    2/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:59:13 UTC Syncing #13376963 0x703c…9906     0.20 blk/s   65.6 tx/s    5.5 Mgas/s      0+   19 Qed Ancient:#13012981 LI:#13376982    2/25 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:59:21 UTC Syncing #13376965 0x1073…3771     0.40 blk/s   26.2 tx/s    2.3 Mgas/s      0+   18 Qed Ancient:#13012983 LI:#13376983    2/25 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:59:21 UTC Syncing #13376966 0xadee…f092     0.30 blk/s   30.3 tx/s    2.8 Mgas/s      0+   17 Qed Ancient:#13012984 LI:#13376983    2/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:59:26 UTC Syncing #13376966 0xadee…f092     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#13012984 LI:#13376984    2/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
