2021-10-06 08:38:28 UTC Syncing #13364369 0x9876…1c78     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12443936 LI:#13364382   17/25 peers    972 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:38:39 UTC Syncing #13364371 0x74bd…7369     0.20 blk/s   51.0 tx/s    4.0 Mgas/s      0+   10 Qed Ancient:#12443939 LI:#13364382   17/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:38:39 UTC Syncing #13364370 0x1043…08ab     0.20 blk/s   74.8 tx/s    6.0 Mgas/s      0+   11 Qed Ancient:#12443937 LI:#13364382   17/25 peers    972 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:38:46 UTC Syncing #13364372 0x720f…6580     0.40 blk/s   36.2 tx/s    2.7 Mgas/s      0+   10 Qed Ancient:#12443940 LI:#13364383   14/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:38:51 UTC Syncing #13364372 0x720f…6580     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12443940 LI:#13364383   14/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:38:56 UTC Syncing #13364373 0xa6dd…9280     0.20 blk/s   29.8 tx/s    2.3 Mgas/s      0+    9 Qed Ancient:#12443941 LI:#13364383   13/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:38:57 UTC Syncing #13364374 0x35eb…17b8     0.20 blk/s   14.2 tx/s    0.8 Mgas/s      0+    8 Qed Ancient:#12443942 LI:#13364383   13/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:39:03 UTC Syncing #13364374 0x35eb…17b8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12443942 LI:#13364384   13/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:39:07 UTC Syncing #13364374 0x35eb…17b8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12443942 LI:#13364387   12/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:39:12 UTC Syncing #13364374 0x35eb…17b8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12443942 LI:#13364387   11/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
