2021-10-08 09:16:29 UTC Syncing #13377299 0xb630…2013     0.13 blk/s   23.5 tx/s    1.1 Mgas/s      0+   13 Qed Ancient:#13030267 LI:#13377313    1/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:16:29 UTC Syncing #13377299 0xb630…2013     0.30 blk/s   43.3 tx/s    2.7 Mgas/s      0+   13 Qed Ancient:#13030267 LI:#13377313    1/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:16:29 UTC Syncing #13377299 0xb630…2013     0.20 blk/s   28.9 tx/s    1.8 Mgas/s      0+   13 Qed Ancient:#13030267 LI:#13377313    1/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:16:32 UTC Syncing #13377299 0xb630…2013     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#13030267 LI:#13377313    1/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:16:37 UTC Syncing #13377299 0xb630…2013     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#13030267 LI:#13377313    1/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:16:42 UTC Syncing #13377299 0xb630…2013     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#13030267 LI:#13377313    1/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:16:51 UTC Syncing #13377300 0xa679…8c9e     0.20 blk/s   96.8 tx/s    6.0 Mgas/s      0+   12 Qed Ancient:#13030268 LI:#13377313    0/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:16:52 UTC Syncing #13377300 0xa679…8c9e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#13030268 LI:#13377313    0/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:16:57 UTC Syncing #13377302 0xb205…daee     0.40 blk/s   24.2 tx/s    2.4 Mgas/s      0+   10 Qed Ancient:#13030270 LI:#13377313    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:17:02 UTC Syncing #13377303 0x1019…80b2     0.20 blk/s   13.8 tx/s    1.3 Mgas/s      0+    9 Qed Ancient:#13030271 LI:#13377313    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:17:07 UTC Syncing #13377303 0x1019…80b2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#13030271 LI:#13377313    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:17:12 UTC Syncing #13377303 0x1019…80b2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#13030271 LI:#13377313    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:17:17 UTC Syncing #13377303 0x1019…80b2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#13030271 LI:#13377313    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:17:30 UTC Syncing #13377305 0xe01f…8de3     0.20 blk/s   39.4 tx/s    3.1 Mgas/s      0+    7 Qed Ancient:#13030273 LI:#13377313    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:17:30 UTC Syncing #13377304 0x61ac…68c3     0.20 blk/s   57.0 tx/s    4.4 Mgas/s      0+    8 Qed Ancient:#13030272 LI:#13377313    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:17:32 UTC Syncing #13377305 0xe01f…8de3     0.20 blk/s   21.8 tx/s    1.8 Mgas/s      0+    7 Qed Ancient:#13030273 LI:#13377313    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:17:37 UTC Syncing #13377306 0xde15…cbfc     0.20 blk/s   51.0 tx/s    3.5 Mgas/s      0+    6 Qed Ancient:#13030274 LI:#13377313    0/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:17:51 UTC Syncing #13377306 0xde15…cbfc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#13030274 LI:#13377312    1/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:17:51 UTC Syncing #13377307 0xd05f…91b5     0.10 blk/s   20.1 tx/s    1.3 Mgas/s      0+    5 Qed Ancient:#13030275 LI:#13377312    1/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:18:01 UTC Syncing #13377307 0xd05f…91b5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#13030275 LI:#13377331    1/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:18:01 UTC Syncing #13377307 0xd05f…91b5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s     14+    7 Qed Ancient:#13030275 LI:#13377331    0/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:18:02 UTC Syncing #13377308 0x692f…cfa4     0.20 blk/s   51.2 tx/s    4.0 Mgas/s      0+   23 Qed Ancient:#13030275 LI:#13377331    0/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:18:07 UTC Syncing #13377308 0x692f…cfa4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#13030276 LI:#13377331    0/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:18:15 UTC Syncing #13377308 0x692f…cfa4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#13030276 LI:#13377331    1/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:18:24 UTC Syncing #13377309 0x69de…cf1e     0.20 blk/s   46.8 tx/s    3.3 Mgas/s      0+   21 Qed Ancient:#13030277 LI:#13377331    1/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:18:24 UTC Syncing #13377309 0x69de…cf1e     0.10 blk/s   23.4 tx/s    1.7 Mgas/s      0+   21 Qed Ancient:#13030277 LI:#13377331    1/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:18:34 UTC Syncing #13377310 0x71ba…d050     0.20 blk/s   37.2 tx/s    3.0 Mgas/s      0+   20 Qed Ancient:#13030278 LI:#13377331    0/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:18:34 UTC Syncing #13377310 0x71ba…d050     0.10 blk/s   18.6 tx/s    1.5 Mgas/s      0+   20 Qed Ancient:#13030278 LI:#13377331    0/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:18:37 UTC Syncing #13377311 0xdb90…5580     0.20 blk/s   27.0 tx/s    2.5 Mgas/s      0+   19 Qed Ancient:#13030279 LI:#13377331    0/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:18:42 UTC Syncing #13377311 0xdb90…5580     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#13030279 LI:#13377331    0/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:18:52 UTC Syncing #13377311 0xdb90…5580     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#13030279 LI:#13377331    2/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:18:52 UTC Syncing #13377311 0xdb90…5580     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#13030279 LI:#13377330    2/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:18:57 UTC Syncing #13377312 0x862c…7ef4     0.20 blk/s   41.4 tx/s    3.2 Mgas/s      0+   18 Qed Ancient:#13030280 LI:#13377329    6/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:19:09 UTC Syncing #13377313 0xb09b…4b7e     0.10 blk/s    8.2 tx/s    0.8 Mgas/s      0+   17 Qed Ancient:#13030281 LI:#13377329    6/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:19:09 UTC Syncing #13377312 0x862c…7ef4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#13030280 LI:#13377329    6/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:19:21 UTC Syncing #13377313 0xb09b…4b7e     0.10 blk/s    8.2 tx/s    0.8 Mgas/s      0+   17 Qed Ancient:#13030281 LI:#13377328    4/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:19:21 UTC Syncing #13377313 0xb09b…4b7e     0.20 blk/s   16.4 tx/s    1.6 Mgas/s      0+   17 Qed Ancient:#13030281 LI:#13377328    4/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:19:22 UTC Syncing #13377313 0xb09b…4b7e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#13030281 LI:#13377328    4/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:19:32 UTC Syncing #13377314 0xb71b…92bf     0.20 blk/s   49.0 tx/s    4.2 Mgas/s      0+   16 Qed Ancient:#13030282 LI:#13377328    4/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:19:32 UTC Syncing #13377315 0x5b96…a916     0.20 blk/s   13.4 tx/s    1.2 Mgas/s      0+   15 Qed Ancient:#13030283 LI:#13377328    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:19:43 UTC Syncing #13377315 0x5b96…a916     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#13030283 LI:#13377328    1/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:19:43 UTC Syncing #13377315 0x5b96…a916     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#13030283 LI:#13377328    1/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:19:54 UTC Syncing #13377317 0x3c26…270c     0.20 blk/s   65.7 tx/s    4.1 Mgas/s      0+   13 Qed Ancient:#13030285 LI:#13377328    1/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:19:54 UTC Syncing #13377316 0x9b60…938f     0.20 blk/s   77.2 tx/s    5.0 Mgas/s      0+   14 Qed Ancient:#13030284 LI:#13377328    1/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:20:06 UTC Syncing #13377318 0x1afc…e050     0.20 blk/s   32.0 tx/s    2.0 Mgas/s      0+   12 Qed Ancient:#13030286 LI:#13377328    1/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:20:06 UTC Syncing #13377318 0x1afc…e050     0.40 blk/s   64.0 tx/s    3.9 Mgas/s      0+   12 Qed Ancient:#13030286 LI:#13377328    1/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:20:07 UTC Syncing #13377318 0x1afc…e050     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#13030286 LI:#13377328    1/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
