2021-10-06 08:35:42 UTC Syncing #13364362 0xaa2d…b2a1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12443929 LI:#13364367    0/25 peers      2 MiB chain  709 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:35:47 UTC Syncing #13364362 0xaa2d…b2a1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12443929 LI:#13364367    0/25 peers      2 MiB chain  709 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:35:52 UTC Syncing #13364362 0xaa2d…b2a1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12443929 LI:#13364367    0/25 peers      2 MiB chain  709 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:35:57 UTC Syncing #13364362 0xaa2d…b2a1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12443929 LI:#13364367    0/25 peers      2 MiB chain  709 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:36:04 UTC Syncing #13364362 0xaa2d…b2a1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12443929 LI:#13364367    0/25 peers      2 MiB chain  709 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:36:12 UTC Syncing #13364363 0xa7f7…9b0a     0.20 blk/s   80.2 tx/s    6.0 Mgas/s      0+    3 Qed Ancient:#12443929 LI:#13364367    2/25 peers      2 MiB chain  358 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:36:12 UTC Syncing #13364363 0xa7f7…9b0a     0.10 blk/s   40.1 tx/s    3.0 Mgas/s      0+    3 Qed Ancient:#12443929 LI:#13364367    2/25 peers      2 MiB chain  358 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:36:15 UTC Could not revert to previous block, last: 13364367 (0x9f61…c413)
2021-10-06 08:36:17 UTC Syncing #13364363 0xa7f7…9b0a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    3 Qed Ancient:#12443929 LI:#13364363    2/25 peers      2 MiB chain  358 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:36:23 UTC Syncing #13364363 0xa7f7…9b0a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    3 Qed Ancient:#12443929 LI:#13364363    4/25 peers      4 MiB chain  358 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:36:27 UTC Syncing #13364363 0xa7f7…9b0a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12443929 LI:#13364372    4/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:36:33 UTC Syncing #13364363 0xa7f7…9b0a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12443929 LI:#13364372    5/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:36:37 UTC Syncing #13364363 0xa7f7…9b0a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12443929 LI:#13364373    4/25 peers    104 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:36:45 UTC Syncing #13364364 0x0d79…8eb5     0.20 blk/s   48.6 tx/s    4.0 Mgas/s      0+    9 Qed Ancient:#12443930 LI:#13364374    4/25 peers    284 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:36:47 UTC Syncing #13364364 0x0d79…8eb5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12443930 LI:#13364374    3/25 peers    284 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:36:52 UTC Syncing #13364365 0x304e…0b0e     0.20 blk/s   10.8 tx/s    1.2 Mgas/s      0+    8 Qed Ancient:#12443931 LI:#13364374    3/25 peers    284 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:37:00 UTC Syncing #13364366 0x422e…3a68     0.20 blk/s   21.6 tx/s    1.8 Mgas/s      0+    7 Qed Ancient:#12443932 LI:#13364374    5/25 peers    284 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:37:05 UTC Syncing #13364366 0x422e…3a68     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12443932 LI:#13364374    5/25 peers    284 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:37:13 UTC Syncing #13364367 0x9f61…c413     0.10 blk/s    9.0 tx/s    0.7 Mgas/s      0+    6 Qed Ancient:#12443934 LI:#13364374    5/25 peers    355 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:37:13 UTC Syncing #13364367 0x9f61…c413     0.20 blk/s   18.0 tx/s    1.5 Mgas/s      0+    6 Qed Ancient:#12443934 LI:#13364374    5/25 peers    355 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:37:17 UTC Syncing #13364367 0x9f61…c413     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12443934 LI:#13364375    4/25 peers    355 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
