2021-10-07 13:37:12 UTC Syncing #13372089 0x5629…88ff     0.20 blk/s   35.4 tx/s    2.7 Mgas/s      0+   19 Qed Ancient:#12781883 LI:#13372109   13/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:37:12 UTC Syncing #13372089 0x5629…88ff     0.10 blk/s   17.7 tx/s    1.3 Mgas/s      0+   19 Qed Ancient:#12781883 LI:#13372109   13/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:37:26 UTC Syncing #13372090 0x0cd6…966e     0.20 blk/s   45.2 tx/s    2.9 Mgas/s      0+   19 Qed Ancient:#12781884 LI:#13372109   13/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:37:26 UTC Syncing #13372092 0x502d…4397     0.20 blk/s   27.5 tx/s    1.7 Mgas/s      0+   17 Qed Ancient:#12781886 LI:#13372109   13/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:37:26 UTC Syncing #13372092 0x502d…4397     0.30 blk/s   41.2 tx/s    2.6 Mgas/s      0+   17 Qed Ancient:#12781886 LI:#13372109   13/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:37:34 UTC Syncing #13372092 0x502d…4397     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12781886 LI:#13372109   13/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:37:34 UTC Syncing #13372092 0x502d…4397     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12781886 LI:#13372109   13/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:37:38 UTC Syncing #13372092 0x502d…4397     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12781886 LI:#13372110   13/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:37:43 UTC Syncing #13372092 0x502d…4397     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12781886 LI:#13372110   13/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:37:48 UTC Syncing #13372092 0x502d…4397     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12781886 LI:#13372110   13/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
