2021-10-06 00:08:15 UTC Syncing #13362129 0x4981…332a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12333574 LI:#13362133   29/50 peers    357 KiB chain  946 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:08:20 UTC Syncing #13362129 0x4981…332a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12333574 LI:#13362134   28/50 peers    357 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:08:25 UTC Syncing #13362129 0x4981…332a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12333574 LI:#13362136   28/50 peers    357 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:08:30 UTC Syncing #13362129 0x4981…332a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12333574 LI:#13362136   29/50 peers    358 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:08:35 UTC Syncing #13362130 0xb996…c057     0.20 blk/s   41.4 tx/s    5.5 Mgas/s      0+    7 Qed Ancient:#12333575 LI:#13362136   29/50 peers    658 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:08:40 UTC Syncing #13362131 0x3b0d…5322     0.20 blk/s   21.4 tx/s    1.6 Mgas/s      0+    6 Qed Ancient:#12333576 LI:#13362136   30/50 peers    938 KiB chain  978 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:08:45 UTC Syncing #13362131 0x3b0d…5322     0.20 blk/s   38.8 tx/s    5.4 Mgas/s      0+    5 Qed Ancient:#12333577 LI:#13362136   28/50 peers    938 KiB chain  949 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:08:55 UTC Syncing #13362132 0xf085…2a94     0.20 blk/s    3.8 tx/s    0.5 Mgas/s      0+    4 Qed Ancient:#12333579 LI:#13362137   28/50 peers      1 MiB chain  959 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:09:00 UTC Syncing #13362132 0xf085…2a94     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12333579 LI:#13362137   26/50 peers      1 MiB chain  959 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:09:05 UTC Syncing #13362132 0xf085…2a94     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12333579 LI:#13362137   28/50 peers      1 MiB chain  959 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:09:10 UTC Syncing #13362132 0xf085…2a94     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12333579 LI:#13362137   28/50 peers      1 MiB chain  959 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:09:41 UTC  Ancient:#12333584 AB:#12336867   28/50 peers      1 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:10:15 UTC  Ancient:#12333585 AB:#12336867   29/50 peers      2 MiB chain  392 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:10:25 UTC Syncing #13362137 0x97c6…e618     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12333585 LI:#13362142   29/50 peers      2 MiB chain  896 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:10:30 UTC Syncing #13362137 0x97c6…e618     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12333585 LI:#13362143   30/50 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:10:35 UTC Syncing #13362138 0xf44a…e699     0.20 blk/s   81.4 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#12333586 LI:#13362143   27/50 peers      2 MiB chain  689 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:10:40 UTC Syncing #13362138 0xf44a…e699     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12333586 LI:#13362143   27/50 peers      2 MiB chain  689 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:10:45 UTC Syncing #13362138 0xf44a…e699     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12333586 LI:#13362144   26/50 peers      2 MiB chain  926 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:10:50 UTC Syncing #13362139 0x7f6c…1052     0.20 blk/s   39.0 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#12333588 LI:#13362144   26/50 peers      2 MiB chain  520 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:10:55 UTC Syncing #13362139 0x7f6c…1052     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12333588 LI:#13362144   27/50 peers      2 MiB chain  520 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:11:00 UTC Syncing #13362139 0x7f6c…1052     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12333588 LI:#13362144   26/50 peers      2 MiB chain  520 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:11:05 UTC Syncing #13362140 0x8724…0f8c     0.20 blk/s   66.8 tx/s    4.6 Mgas/s      0+    4 Qed Ancient:#12333589 LI:#13362146   27/50 peers      2 MiB chain  741 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:11:10 UTC Syncing #13362141 0x7e35…69df     0.20 blk/s    7.0 tx/s    0.6 Mgas/s      0+    4 Qed Ancient:#12333590 LI:#13362146   28/50 peers      2 MiB chain  720 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:11:20 UTC Syncing #13362142 0x3937…b608     0.10 blk/s    2.3 tx/s    0.2 Mgas/s      0+    4 Qed Ancient:#12333591 LI:#13362147   29/50 peers      2 MiB chain  853 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:11:25 UTC Syncing #13362142 0x3937…b608     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12333591 LI:#13362148   30/50 peers      2 MiB chain  964 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
