2021-10-06 03:43:47 UTC Syncing #13363051 0xc398…da59     0.10 blk/s   14.0 tx/s    1.0 Mgas/s      0+   46 Qed Ancient:#12378938 LI:#13363096    8/25 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:43:52 UTC Syncing #13363051 0xc398…da59     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   48 Qed Ancient:#12378938 LI:#13363098    7/25 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:43:58 UTC Syncing #13363051 0xc398…da59     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   48 Qed Ancient:#12378938 LI:#13363098    7/25 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:44:04 UTC Syncing #13363052 0x8b9e…181b     0.20 blk/s   44.0 tx/s    3.7 Mgas/s      0+   49 Qed Ancient:#12378940 LI:#13363100    7/25 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:44:08 UTC Syncing #13363053 0xa0e2…17dd     0.20 blk/s   14.6 tx/s    0.6 Mgas/s      0+   48 Qed Ancient:#12378941 LI:#13363100    7/25 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:44:10 UTC Syncing #13363053 0xa0e2…17dd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   50 Qed Ancient:#12378941 LI:#13363102    7/25 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:44:16 UTC Syncing #13363053 0xa0e2…17dd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   50 Qed Ancient:#12378941 LI:#13363102   10/25 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:44:20 UTC Syncing #13363053 0xa0e2…17dd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   50 Qed Ancient:#12378941 LI:#13363102    9/25 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:44:25 UTC Syncing #13363053 0xa0e2…17dd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   52 Qed Ancient:#12378941 LI:#13363104   10/25 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:44:30 UTC Syncing #13363053 0xa0e2…17dd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   52 Qed Ancient:#12378941 LI:#13363104   11/25 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:44:35 UTC Syncing #13363053 0xa0e2…17dd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   52 Qed Ancient:#12378941 LI:#13363104   11/25 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
