2021-10-07 21:36:32 UTC Syncing #13374223 0x7e5d…ed28     0.20 blk/s  116.6 tx/s    5.9 Mgas/s      0+    8 Qed Ancient:#12891819 LI:#13374231    0/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:36:37 UTC Syncing #13374224 0xf2ea…a6c4     0.20 blk/s   16.2 tx/s    1.0 Mgas/s      0+    7 Qed Ancient:#12891820 LI:#13374231    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:36:43 UTC Syncing #13374224 0xf2ea…a6c4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12891820 LI:#13374231    1/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:36:47 UTC Syncing #13374224 0xf2ea…a6c4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12891820 LI:#13374231    2/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:36:52 UTC Syncing #13374224 0xf2ea…a6c4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12891820 LI:#13374231    4/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:36:57 UTC Syncing #13374225 0x0093…8d06     0.20 blk/s   72.6 tx/s    3.7 Mgas/s      0+    6 Qed Ancient:#12891821 LI:#13374231    4/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:37:02 UTC Syncing #13374225 0x0093…8d06     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12891821 LI:#13374231    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:37:07 UTC Syncing #13374225 0x0093…8d06     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12891821 LI:#13374231    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:37:12 UTC Syncing #13374225 0x0093…8d06     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12891821 LI:#13374231    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:37:19 UTC Syncing #13374226 0xd0c9…cb28     0.20 blk/s   60.6 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#12891823 LI:#13374231    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
