2021-10-06 03:48:50 UTC Syncing #13363084 0x8e0b…f6c5     0.20 blk/s   46.2 tx/s    3.8 Mgas/s      0+   46 Qed Ancient:#12379111 LI:#13363129    6/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:48:50 UTC Syncing #13363084 0x8e0b…f6c5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   46 Qed Ancient:#12379111 LI:#13363129    6/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:49:00 UTC Syncing #13363085 0x674b…f765     0.20 blk/s   75.6 tx/s    6.0 Mgas/s      0+   45 Qed Ancient:#12379112 LI:#13363129    6/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:49:00 UTC Syncing #13363085 0x674b…f765     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   45 Qed Ancient:#12379112 LI:#13363129    6/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:49:09 UTC Syncing #13363086 0xa5a3…8fe8     0.20 blk/s   64.8 tx/s    4.9 Mgas/s      0+   44 Qed Ancient:#12379113 LI:#13363129    9/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:49:15 UTC Syncing #13363088 0xbf60…a333     0.40 blk/s   31.8 tx/s    2.8 Mgas/s      0+   42 Qed Ancient:#12379115 LI:#13363129    8/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:49:15 UTC Syncing #13363088 0xbf60…a333     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#12379115 LI:#13363129    8/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:49:21 UTC Syncing #13363090 0x7046…e0bf     0.40 blk/s   95.2 tx/s    7.2 Mgas/s      0+   41 Qed Ancient:#12379117 LI:#13363130    8/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:49:27 UTC Syncing #13363092 0x745a…e78c     0.60 blk/s   34.8 tx/s    3.0 Mgas/s      0+   38 Qed Ancient:#12379120 LI:#13363130    8/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:49:30 UTC Syncing #13363092 0x745a…e78c     0.20 blk/s   88.2 tx/s    2.8 Mgas/s      0+   37 Qed Ancient:#12379121 LI:#13363129    7/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:49:31 UTC Could not revert to previous block, last: 13363131 (0x855c…64b4)
2021-10-06 03:49:35 UTC Syncing #13363092 0x745a…e78c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12379121 LI:#13363087   11/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:49:39 UTC Reorg to #13363093 0xdec5…c898 (0x745a…e78c 0x6dc4…dba0 #13363090 0x7046…e0bf 0x8f85…334f 0x4c0e…61f9)
2021-10-06 03:49:43 UTC Syncing #13363093 0xdec5…c898     0.20 blk/s   68.4 tx/s    5.9 Mgas/s      0+   37 Qed Ancient:#12379122 LI:#13363089   13/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:49:47 UTC Syncing #13363095 0x230c…d97c     0.40 blk/s   53.6 tx/s    4.1 Mgas/s      0+   35 Qed Ancient:#12379124 LI:#13363089   13/25 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:49:52 UTC Syncing #13363095 0x230c…d97c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12379124 LI:#13363089   12/25 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:49:56 UTC Syncing #13363096 0xcebb…3fba     0.20 blk/s   53.6 tx/s    3.6 Mgas/s      0+   34 Qed Ancient:#12379125 LI:#13363089   12/25 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:50:02 UTC Syncing #13363097 0xa37b…d98b     0.20 blk/s   48.0 tx/s    3.8 Mgas/s      0+   33 Qed Ancient:#12379126 LI:#13363089   11/25 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:50:07 UTC Syncing #13363099 0x1242…2670     0.40 blk/s   61.0 tx/s    4.5 Mgas/s      0+   32 Qed Ancient:#12379128 LI:#13363132   11/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:50:12 UTC Syncing #13363099 0x1242…2670     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12379128 LI:#13363132   11/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:50:16 UTC Syncing #13363102 0x5640…a584     0.60 blk/s   73.0 tx/s    7.3 Mgas/s      0+   29 Qed Ancient:#12379131 LI:#13363132   11/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
