2021-10-06 03:29:00 UTC Syncing #13363017 0x66a7…83fc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12375535 LI:#13363027   24/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:29:05 UTC Syncing #13363017 0x66a7…83fc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12375535 LI:#13363028   24/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:29:10 UTC Syncing #13363018 0xa7e2…45e7     0.20 blk/s  170.4 tx/s    5.0 Mgas/s      0+   10 Qed Ancient:#12375536 LI:#13363028   24/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:29:15 UTC Syncing #13363018 0xa7e2…45e7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12375536 LI:#13363028   25/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:29:20 UTC Syncing #13363019 0x9b91…f4c2     0.40 blk/s   38.2 tx/s    2.0 Mgas/s      0+    8 Qed Ancient:#12375538 LI:#13363028   25/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:29:25 UTC Syncing #13363019 0x9b91…f4c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12375538 LI:#13363028   27/50 peers      7 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:29:30 UTC Syncing #13363019 0x9b91…f4c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12375538 LI:#13363029   27/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:29:35 UTC Syncing #13363019 0x9b91…f4c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12375538 LI:#13363029   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:29:36 UTC Reorg to #13363020 0x9264…dade (0x9b91…f4c2 #13363018 0xa7e2…45e7 0x698d…ea5c)
2021-10-06 03:29:40 UTC Syncing #13363020 0x9264…dade     0.20 blk/s   47.8 tx/s    2.6 Mgas/s      0+    8 Qed Ancient:#12375539 LI:#13363029   27/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:29:45 UTC Syncing #13363020 0x9264…dade     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12375539 LI:#13363030   27/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:29:50 UTC Syncing #13363020 0x9264…dade     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12375539 LI:#13363030   28/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:29:55 UTC Syncing #13363022 0xdac9…31ca     0.40 blk/s   42.6 tx/s    2.9 Mgas/s      0+    7 Qed Ancient:#12375541 LI:#13363030   29/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:30:01 UTC Syncing #13363022 0xdac9…31ca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12375541 LI:#13363031   29/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:30:05 UTC Syncing #13363022 0xdac9…31ca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12375541 LI:#13363031   28/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:30:10 UTC Syncing #13363022 0xdac9…31ca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12375541 LI:#13363031   27/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:30:15 UTC Syncing #13363022 0xdac9…31ca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12375541 LI:#13363031   27/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:30:20 UTC Syncing #13363022 0xdac9…31ca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12375541 LI:#13363032   27/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:31:09 UTC Syncing #13363022 0xdac9…31ca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12375541 LI:#13363032   27/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:31:09 UTC Syncing #13363023 0x019b…b53d     0.10 blk/s   28.8 tx/s    2.4 Mgas/s      0+   10 Qed Ancient:#12375581 LI:#13363032   27/50 peers      7 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:31:09 UTC Syncing #13363023 0x019b…b53d     0.02 blk/s    6.9 tx/s    0.6 Mgas/s      0+   10 Qed Ancient:#12375581 LI:#13363032   27/50 peers      7 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:31:09 UTC Syncing #13363023 0x019b…b53d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12375582 LI:#13363034   27/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
