2021-10-08 00:13:51 UTC Syncing #13374901 0x6433…f191     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12922524 LI:#13374920   10/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:13:56 UTC Syncing #13374901 0x6433…f191     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12922524 LI:#13374920   11/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:14:04 UTC Syncing #13374901 0x6433…f191     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12922524 LI:#13374923    8/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:14:12 UTC Syncing #13374901 0x6433…f191     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12922524 LI:#13374923    8/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:14:12 UTC Syncing #13374901 0x6433…f191     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12922524 LI:#13374923    8/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:14:28 UTC Syncing #13374904 0x48d0…06e2     0.33 blk/s   50.4 tx/s    3.5 Mgas/s      0+   19 Qed Ancient:#12922527 LI:#13374923    8/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:14:28 UTC Syncing #13374904 0x48d0…06e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12922527 LI:#13374923    8/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:14:28 UTC Syncing #13374901 0x6433…f191     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12922524 LI:#13374923    8/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:14:34 UTC Syncing #13374904 0x48d0…06e2     0.70 blk/s  105.6 tx/s    7.4 Mgas/s      0+   21 Qed Ancient:#12922528 LI:#13374926    7/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:14:36 UTC Syncing #13374904 0x48d0…06e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12922528 LI:#13374928    7/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:14:45 UTC Syncing #13374904 0x48d0…06e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12922528 LI:#13374928    6/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:14:53 UTC Syncing #13374905 0xe256…455c     0.10 blk/s   12.4 tx/s    0.9 Mgas/s      0+   23 Qed Ancient:#12922529 LI:#13374929    6/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:14:53 UTC Syncing #13374905 0xe256…455c     0.20 blk/s   25.1 tx/s    1.8 Mgas/s      0+   23 Qed Ancient:#12922529 LI:#13374929    6/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:15:00 UTC Syncing #13374906 0xff53…a0fc     0.20 blk/s   27.6 tx/s    2.3 Mgas/s      0+   23 Qed Ancient:#12922530 LI:#13374930    6/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:15:06 UTC Syncing #13374907 0xe560…bda3     0.10 blk/s   10.3 tx/s    0.7 Mgas/s      0+   24 Qed Ancient:#12922531 LI:#13374932    6/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:15:06 UTC Syncing #13374907 0xe560…bda3     0.20 blk/s   20.6 tx/s    1.5 Mgas/s      0+   24 Qed Ancient:#12922531 LI:#13374932    6/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:15:11 UTC Syncing #13374907 0xe560…bda3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12922531 LI:#13374934    6/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:15:16 UTC Syncing #13374907 0xe560…bda3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12922531 LI:#13374936    7/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:15:24 UTC Syncing #13374910 0xc499…9419     0.60 blk/s   71.6 tx/s    5.1 Mgas/s      0+   25 Qed Ancient:#12922535 LI:#13374936    7/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:15:31 UTC Syncing #13374910 0xc499…9419     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12922535 LI:#13374937    7/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:15:31 UTC Syncing #13374910 0xc499…9419     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12922535 LI:#13374937    7/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:15:40 UTC Syncing #13374911 0x3b2c…5907     0.20 blk/s   28.0 tx/s    2.4 Mgas/s      0+   28 Qed Ancient:#12922536 LI:#13374940    7/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:15:41 UTC Syncing #13374911 0x3b2c…5907     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12922536 LI:#13374940    7/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:15:50 UTC Syncing #13374911 0x3b2c…5907     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12922536 LI:#13374940    8/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:15:51 UTC Syncing #13374911 0x3b2c…5907     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12922536 LI:#13374940    9/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:15:56 UTC Syncing #13374911 0x3b2c…5907     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12922536 LI:#13374940    9/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:16:01 UTC Syncing #13374911 0x3b2c…5907     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12922536 LI:#13374940    8/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:16:15 UTC Syncing #13374911 0x3b2c…5907     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12922536 LI:#13374940   11/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:16:15 UTC Syncing #13374911 0x3b2c…5907     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12922536 LI:#13374940   11/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
