2021-10-06 05:00:21 UTC Syncing #13363436 0x0b52…1634     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12393850 LI:#13363455    2/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:00:26 UTC Syncing #13363436 0x0b52…1634     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12393850 LI:#13363455    2/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:00:34 UTC Syncing #13363438 0x22b3…607d     0.40 blk/s   38.4 tx/s    3.9 Mgas/s      0+   18 Qed Ancient:#12393852 LI:#13363455    2/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:00:37 UTC Syncing #13363438 0x22b3…607d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12393852 LI:#13363456    2/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:00:41 UTC Syncing #13363438 0x22b3…607d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12393852 LI:#13363456    2/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:00:49 UTC Syncing #13363439 0x4535…2f44     0.20 blk/s   27.2 tx/s    1.7 Mgas/s      0+   18 Qed Ancient:#12393853 LI:#13363456    2/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:00:51 UTC Syncing #13363439 0x4535…2f44     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12393853 LI:#13363456    2/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:00:56 UTC Syncing #13363439 0x4535…2f44     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12393853 LI:#13363456    2/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:01:01 UTC Syncing #13363439 0x4535…2f44     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12393853 LI:#13363456    2/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:01:06 UTC Syncing #13363439 0x4535…2f44     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12393853 LI:#13363456    2/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:01:11 UTC Syncing #13363439 0x4535…2f44     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12393853 LI:#13363457    3/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:01:19 UTC Syncing #13363440 0xaa96…3732     0.20 blk/s   25.4 tx/s    2.6 Mgas/s      0+   20 Qed Ancient:#12393854 LI:#13363458    3/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:01:21 UTC Syncing #13363440 0xaa96…3732     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12393854 LI:#13363458    3/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:01:32 UTC Syncing #13363441 0x56b6…d53b     0.20 blk/s   10.0 tx/s    0.8 Mgas/s      0+   19 Qed Ancient:#12393855 LI:#13363458    5/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:01:32 UTC Syncing #13363441 0x56b6…d53b     0.10 blk/s    5.0 tx/s    0.4 Mgas/s      0+   19 Qed Ancient:#12393855 LI:#13363458    5/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:01:36 UTC Syncing #13363441 0x56b6…d53b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12393855 LI:#13363459    5/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:01:47 UTC Syncing #13363443 0x7870…0d68     0.20 blk/s   27.1 tx/s    3.0 Mgas/s      0+   19 Qed Ancient:#12393857 LI:#13363460    9/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:01:47 UTC Syncing #13363443 0x7870…0d68     0.40 blk/s   54.2 tx/s    6.0 Mgas/s      0+   19 Qed Ancient:#12393857 LI:#13363460    9/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:01:51 UTC Syncing #13363443 0x7870…0d68     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12393857 LI:#13363460    9/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:02:04 UTC Syncing #13363444 0x1b0a…ec77     0.10 blk/s   17.8 tx/s    3.0 Mgas/s      0+   18 Qed Ancient:#12393858 LI:#13363460    9/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:02:04 UTC Syncing #13363444 0x1b0a…ec77     0.20 blk/s   35.6 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#12393858 LI:#13363460    9/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
