2021-10-08 00:17:46 UTC Syncing #13374917 0x51e9…84e4     0.20 blk/s   35.0 tx/s    2.7 Mgas/s      0+   25 Qed Ancient:#12922551 LI:#13374943    8/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:17:46 UTC Syncing #13374917 0x51e9…84e4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12922551 LI:#13374943    8/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:17:46 UTC Syncing #13374916 0xbd2f…cd42     0.20 blk/s   46.2 tx/s    3.8 Mgas/s      0+   26 Qed Ancient:#12922550 LI:#13374943    8/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:18:09 UTC Syncing #13374918 0xff15…a1b5     0.21 blk/s   18.7 tx/s    1.2 Mgas/s      0+   26 Qed Ancient:#12922552 LI:#13374945    8/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:18:09 UTC Syncing #13374918 0xff15…a1b5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12922552 LI:#13374945    8/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:18:09 UTC Syncing #13374918 0xff15…a1b5     0.42 blk/s   38.6 tx/s    2.5 Mgas/s      0+   26 Qed Ancient:#12922552 LI:#13374945    8/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:18:17 UTC Syncing #13374918 0xff15…a1b5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12922552 LI:#13374947    8/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:18:17 UTC Syncing #13374918 0xff15…a1b5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12922552 LI:#13374947    8/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:18:21 UTC Syncing #13374918 0xff15…a1b5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#12922552 LI:#13374948    8/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:18:30 UTC Syncing #13374919 0x015c…258a     0.20 blk/s   69.0 tx/s    5.9 Mgas/s      0+   28 Qed Ancient:#12922553 LI:#13374948    8/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:18:31 UTC Syncing #13374919 0x015c…258a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12922553 LI:#13374948    8/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:18:45 UTC Syncing #13374922 0xef04…883a     0.30 blk/s   57.6 tx/s    5.2 Mgas/s      0+   25 Qed Ancient:#12922556 LI:#13374949    8/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:18:45 UTC Syncing #13374920 0x1a4f…36ea     0.20 blk/s   70.2 tx/s    6.0 Mgas/s      0+   27 Qed Ancient:#12922554 LI:#13374949    8/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:18:52 UTC Syncing #13374924 0xcf2f…cef5     0.40 blk/s   67.5 tx/s    5.2 Mgas/s      0+   25 Qed Ancient:#12922559 LI:#13374950    8/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:18:52 UTC Syncing #13374923 0xa258…a8ad     0.60 blk/s   72.2 tx/s    6.8 Mgas/s      0+   26 Qed Ancient:#12922557 LI:#13374950    8/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:18:57 UTC Syncing #13374925 0x5c5c…666a     0.40 blk/s   76.6 tx/s    4.7 Mgas/s      0+   25 Qed Ancient:#12922561 LI:#13374951    8/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:19:03 UTC Syncing #13374925 0x5c5c…666a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12922561 LI:#13374951    8/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:19:11 UTC Syncing #13374926 0x3b8b…3663     0.20 blk/s   58.2 tx/s    4.3 Mgas/s      0+   24 Qed Ancient:#12922562 LI:#13374951    8/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:19:18 UTC Syncing #13374928 0xf78f…7b49     0.20 blk/s   20.1 tx/s    2.1 Mgas/s      0+   22 Qed Ancient:#12922564 LI:#13374951    8/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:19:18 UTC Syncing #13374927 0x32b2…c0e5     0.20 blk/s   35.6 tx/s    3.8 Mgas/s      0+   23 Qed Ancient:#12922563 LI:#13374951    8/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:19:25 UTC Syncing #13374929 0x321a…4d2b     0.40 blk/s   61.2 tx/s    6.5 Mgas/s      0+   21 Qed Ancient:#12922565 LI:#13374951    5/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:19:31 UTC Syncing #13374933 0x5cc1…95ff     0.40 blk/s   50.3 tx/s    4.4 Mgas/s      0+   20 Qed Ancient:#12922569 LI:#13374953    5/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:19:31 UTC Syncing #13374931 0xf291…2f98     0.40 blk/s   23.2 tx/s    3.1 Mgas/s      0+   22 Qed Ancient:#12922567 LI:#13374953    5/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:19:37 UTC Syncing #13374933 0x5cc1…95ff     0.40 blk/s   77.4 tx/s    5.6 Mgas/s      0+   20 Qed Ancient:#12922569 LI:#13374953    5/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:19:44 UTC Syncing #13374935 0xf187…ae49     0.40 blk/s   51.0 tx/s    3.8 Mgas/s      0+   18 Qed Ancient:#12922571 LI:#13374953    4/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:19:50 UTC Syncing #13374935 0xf187…ae49     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12922571 LI:#13374954    4/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:19:57 UTC Syncing #13374936 0xd34e…243a     0.20 blk/s   88.6 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#12922572 LI:#13374954    4/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:19:57 UTC Syncing #13374937 0x7b26…55d9     0.20 blk/s   60.1 tx/s    4.1 Mgas/s      0+   17 Qed Ancient:#12922573 LI:#13374954    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:20:03 UTC Syncing #13374938 0xdf61…7715     0.20 blk/s   12.4 tx/s    2.0 Mgas/s      0+   16 Qed Ancient:#12922574 LI:#13374954    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
