2021-10-06 01:18:17 UTC Syncing #13362380 0x5ed1…110f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12349231 LI:#13362408   31/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:18:22 UTC Syncing #13362380 0x5ed1…110f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12349231 LI:#13362408   31/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:18:27 UTC Syncing #13362380 0x5ed1…110f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12349231 LI:#13362408   31/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:18:32 UTC Syncing #13362380 0x5ed1…110f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12349231 LI:#13362408   32/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:18:37 UTC Syncing #13362380 0x5ed1…110f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#12349231 LI:#13362409   32/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:18:42 UTC Syncing #13362381 0xb94e…f6f2     0.20 blk/s   68.2 tx/s    6.0 Mgas/s      0+   29 Qed Ancient:#12349232 LI:#13362410   32/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:18:47 UTC Syncing #13362381 0xb94e…f6f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#12349232 LI:#13362410   32/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:18:52 UTC Syncing #13362381 0xb94e…f6f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#12349232 LI:#13362410   32/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:18:57 UTC Syncing #13362381 0xb94e…f6f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12349232 LI:#13362411   32/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:19:02 UTC Syncing #13362381 0xb94e…f6f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12349232 LI:#13362411   33/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:19:07 UTC Syncing #13362381 0xb94e…f6f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12349232 LI:#13362411   33/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:19:12 UTC Syncing #13362382 0xc108…d7f9     0.20 blk/s   65.8 tx/s    6.0 Mgas/s      0+   29 Qed Ancient:#12349233 LI:#13362411   33/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:19:17 UTC Syncing #13362383 0xc489…cebd     0.20 blk/s    9.2 tx/s    1.3 Mgas/s      0+   29 Qed Ancient:#12349235 LI:#13362412   32/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:19:22 UTC Syncing #13362383 0xc489…cebd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12349235 LI:#13362413   31/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
