2021-10-07 16:08:52 UTC Syncing #13372773 0x11a5…97fa     0.60 blk/s   44.4 tx/s    3.7 Mgas/s      0+    6 Qed Ancient:#12814541 LI:#13372780    0/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:08:58 UTC Syncing #13372773 0x11a5…97fa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12814541 LI:#13372780    0/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:09:02 UTC Syncing #13372773 0x11a5…97fa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12814541 LI:#13372780    0/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:09:08 UTC Syncing #13372773 0x11a5…97fa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12814541 LI:#13372780    0/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:09:13 UTC Syncing #13372773 0x11a5…97fa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12814541 LI:#13372780    0/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:09:23 UTC Syncing #13372775 0xbc81…37c0     0.20 blk/s   51.9 tx/s    3.4 Mgas/s      0+    4 Qed Ancient:#12814541 LI:#13372780    0/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:09:23 UTC Syncing #13372774 0x467d…35bd     0.20 blk/s   84.6 tx/s    5.5 Mgas/s      0+    5 Qed Ancient:#12814541 LI:#13372780    0/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:09:38 UTC Syncing #13372776 0x3eba…4e5f     0.13 blk/s   16.1 tx/s    1.1 Mgas/s      0+    3 Qed Ancient:#12814541 LI:#13372780    1/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:09:44 UTC Syncing #13372776 0x3eba…4e5f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    3 Qed Ancient:#12814541 LI:#13372780    1/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:09:48 UTC Syncing #13372776 0x3eba…4e5f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12814541 LI:#13372794    2/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:09:54 UTC Syncing #13372777 0x150e…8bd5     0.20 blk/s  102.2 tx/s    5.9 Mgas/s      0+   16 Qed Ancient:#12814543 LI:#13372794    3/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:10:02 UTC Syncing #13372777 0x150e…8bd5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12814543 LI:#13372795    3/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:10:03 UTC Syncing #13372777 0x150e…8bd5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12814543 LI:#13372791    3/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:10:10 UTC Syncing #13372777 0x150e…8bd5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12814543 LI:#13372791    3/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
