2021-10-06 01:03:17 UTC Syncing #13362314 0x6d0a…e9e2     0.20 blk/s   24.2 tx/s    2.5 Mgas/s      0+   32 Qed Ancient:#12343705 LI:#13362347   39/50 peers      4 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:03:22 UTC Syncing #13362315 0x1241…b608     0.20 blk/s   25.6 tx/s    2.0 Mgas/s      0+   31 Qed Ancient:#12343706 LI:#13362347   39/50 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:03:27 UTC Syncing #13362317 0x849f…660c     0.40 blk/s   55.8 tx/s    5.5 Mgas/s      0+   30 Qed Ancient:#12343708 LI:#13362348   39/50 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:03:32 UTC Syncing #13362317 0x849f…660c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12343708 LI:#13362348   38/50 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:03:37 UTC Syncing #13362318 0x59c0…7a24     0.20 blk/s   83.6 tx/s    6.0 Mgas/s      0+   29 Qed Ancient:#12343709 LI:#13362348   38/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:03:42 UTC Syncing #13362319 0xddcb…1771     0.20 blk/s   87.8 tx/s    6.0 Mgas/s      0+   29 Qed Ancient:#12343709 LI:#13362348   38/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:03:47 UTC Syncing #13362319 0xddcb…1771     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12343710 LI:#13362348   38/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:03:52 UTC Syncing #13362320 0x6da3…f647     0.20 blk/s   63.4 tx/s    6.0 Mgas/s      0+   29 Qed Ancient:#12343711 LI:#13362349   37/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:03:57 UTC Syncing #13362323 0x5255…e5e0     0.60 blk/s   45.0 tx/s    3.6 Mgas/s      0+   25 Qed Ancient:#12343714 LI:#13362349   38/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:04:02 UTC Syncing #13362324 0x5a97…c24c     0.20 blk/s   44.4 tx/s    3.2 Mgas/s      0+   24 Qed Ancient:#12343715 LI:#13362349   38/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:04:07 UTC Syncing #13362324 0x5a97…c24c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12343715 LI:#13362349   38/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:04:12 UTC Syncing #13362325 0x6d74…5db8     0.20 blk/s   98.8 tx/s    6.0 Mgas/s      0+   24 Qed Ancient:#12343716 LI:#13362350   39/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:04:17 UTC Syncing #13362326 0x7fe6…6c0e     0.20 blk/s   64.6 tx/s    6.0 Mgas/s      0+   23 Qed Ancient:#12343717 LI:#13362350   39/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:04:22 UTC Syncing #13362328 0x387a…f69d     0.40 blk/s   24.2 tx/s    2.4 Mgas/s      0+   21 Qed Ancient:#12343721 LI:#13362350   39/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:04:27 UTC Syncing #13362330 0xe170…1ab2     0.40 blk/s   29.4 tx/s    2.6 Mgas/s      0+   19 Qed Ancient:#12343723 LI:#13362350   39/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:04:32 UTC Syncing #13362332 0x095d…d2fe     0.40 blk/s   49.4 tx/s    3.1 Mgas/s      0+   17 Qed Ancient:#12343725 LI:#13362350   39/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:04:37 UTC Syncing #13362333 0x1260…254e     0.20 blk/s   27.6 tx/s    1.9 Mgas/s      0+   16 Qed Ancient:#12343726 LI:#13362350   39/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:04:42 UTC Syncing #13362333 0x1260…254e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12343726 LI:#13362351   39/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
