2021-10-06 01:23:22 UTC Syncing #13362411 0x7712…7550     0.20 blk/s   46.2 tx/s    3.0 Mgas/s      0+   17 Qed Ancient:#12349266 LI:#13362429   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:23:27 UTC Syncing #13362413 0xfaa5…672f     0.40 blk/s   41.6 tx/s    3.5 Mgas/s      0+   15 Qed Ancient:#12349268 LI:#13362429   31/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:23:32 UTC Syncing #13362414 0x07ed…ca83     0.20 blk/s   44.8 tx/s    3.9 Mgas/s      0+   14 Qed Ancient:#12349269 LI:#13362429   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:23:37 UTC Syncing #13362414 0x07ed…ca83     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12349269 LI:#13362429   31/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:23:42 UTC Syncing #13362415 0xd09f…6482     0.20 blk/s   89.6 tx/s    6.0 Mgas/s      0+   13 Qed Ancient:#12349270 LI:#13362429   31/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:23:47 UTC Syncing #13362416 0x1844…8721     0.20 blk/s   55.8 tx/s    6.0 Mgas/s      0+   13 Qed Ancient:#12349271 LI:#13362430   32/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:23:52 UTC Syncing #13362418 0x1531…c5e8     0.40 blk/s   25.6 tx/s    2.6 Mgas/s      0+   12 Qed Ancient:#12349273 LI:#13362431   32/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:23:57 UTC Syncing #13362418 0x1531…c5e8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12349273 LI:#13362433   32/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:24:02 UTC Syncing #13362419 0xafee…212b     0.20 blk/s   61.2 tx/s    5.8 Mgas/s      0+   15 Qed Ancient:#12349274 LI:#13362434   33/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:24:07 UTC Syncing #13362422 0xe032…1999     0.60 blk/s   71.6 tx/s    6.3 Mgas/s      0+   12 Qed Ancient:#12349277 LI:#13362434   37/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:24:12 UTC Syncing #13362422 0xe032…1999     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12349277 LI:#13362434   37/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:24:17 UTC Syncing #13362425 0xcf49…6fcd     0.60 blk/s   86.6 tx/s    6.7 Mgas/s      0+    9 Qed Ancient:#12349280 LI:#13362434   37/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:24:22 UTC Syncing #13362426 0x7ee7…9a7b     0.20 blk/s    4.4 tx/s    0.4 Mgas/s      0+    8 Qed Ancient:#12349281 LI:#13362434   38/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:24:27 UTC Syncing #13362426 0x7ee7…9a7b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12349281 LI:#13362434   40/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:24:32 UTC Syncing #13362428 0x18d7…7a91     0.40 blk/s   79.8 tx/s    6.2 Mgas/s      0+    6 Qed Ancient:#12349283 LI:#13362434   39/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:24:37 UTC Syncing #13362428 0x18d7…7a91     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12349283 LI:#13362435   40/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:24:42 UTC Syncing #13362429 0xc3ae…b829     0.20 blk/s   52.0 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#12349284 LI:#13362435   40/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:24:47 UTC Syncing #13362430 0x19b4…7440     0.20 blk/s   67.4 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#12349285 LI:#13362436   40/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:24:52 UTC Syncing #13362430 0x19b4…7440     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12349285 LI:#13362437   37/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:24:57 UTC Syncing #13362431 0x2ac6…f3c7     0.20 blk/s   59.2 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#12349286 LI:#13362437   37/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:25:07 UTC Syncing #13362433 0xacc1…9338     0.30 blk/s   10.0 tx/s    1.7 Mgas/s      0+    4 Qed Ancient:#12349289 LI:#13362438   37/50 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:25:12 UTC Syncing #13362434 0x3655…9c17     0.20 blk/s   18.8 tx/s    2.8 Mgas/s      0+    4 Qed Ancient:#12349290 LI:#13362439   37/50 peers      6 MiB chain  685 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:25:17 UTC Syncing #13362434 0x3655…9c17     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12349290 LI:#13362439   36/50 peers      6 MiB chain  685 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:26:41 UTC Imported #13362442 0x8f9c…a922 (111 txs, 7.39 Mgas, 10034 ms, 47.94 KiB)
2021-10-06 01:26:50 UTC  Ancient:#12350211 AB:#12352743   32/50 peers    284 KiB chain  598 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:27:04 UTC Syncing #13362442 0x8f9c…a922     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12350225 LI:#13362449   12/25 peers    568 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:27:07 UTC Syncing #13362442 0x8f9c…a922     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12350225 LI:#13362449   12/25 peers    639 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
